"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_3","MV4_11_6w_1","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"PC 17:1_18:2","Com_15409_neg","PC 17:1_18:2","C43 H80 N O8 P",815.56691,11.516,814.55964,"No results","Invalid mass","No results",NA,NA,NA,NA,2332941.45,2316090.428,1814050.969,718569.588400001,880204.778200001,1388564.612,19.8691369698062,21.0292541273246,-1.16011715751841,0.0384377922935584,0.252865276734346,"down",1.56322130411556
"Glutathione","Com_15428_neg","Glutathione","C10 H17 N3 O6 S",307.08378,7.464,306.07651,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",2063682.376,2892253.266,1819179.827,565771.2547,569238.1132,547400.6369,19.0969232253884,21.0784695667993,-1.98154634141091,0.00957857287205503,0.218907899710381,"down",1.73142172967094
"N1-(4-cyclohexylphenyl)-2-[(4-methylphenyl)thio]acetamide","Com_15432_neg","N1-(4-cyclohexylphenyl)-2-[(4-methylphenyl)thio]acetamide","C21 H25 N O S",375.14619,7.514,374.13892,"Invalid mass","No results","No results",NA,NA,NA,NA,353439.3889,258046.1941,158333.8808,101873.6428,232629.8775,340963.0568,17.6144513647495,17.8936612021277,-0.279209837378119,0.676835503854887,0.573679291764276,"stable",0.391118629619281
"Pyridoxamine","Com_15500_neg","Pyridoxamine","C8 H12 N2 O2",168.08984,5.218,213.08798,"No results","No results","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridoxamines","Pyridoxamine 5'-phosphates",790728.519300001,473083.0771,531449.83,2235110.115,1385501.687,1713721.647,20.7341976272339,19.1547103139408,1.57948731329309,0.00649145765685512,0.213083717982633,"up",1.6511772380383
"Flavin adenine dinucleotide","Com_15629_neg","Flavin adenine dinucleotide","C27 H33 N9 O15 P2",785.1583,5.874,784.15102,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Flavin nucleotides","Not available","Flavin nucleotides",392007.2233,476874.0817,502755.2119,452017.8341,367325.3164,466365.6845,18.7012736957034,18.7944220559997,-0.0931483602962686,0.577039187135245,0.547261837492632,"stable",0.512488903374754
"LPE 15:0","Com_15661_neg","LPE 15:0","C20 H42 N O7 P",439.27002,9.057,438.26274,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",555000.9515,519184.181600001,366421.0872,284475.3413,629632.6487,145137.0368,18.1763836995954,18.8503868760069,-0.674003176411428,0.38745882943568,0.475437944390651,"stable",0.823636475424645
"LysoPE 18:2","Com_15785_neg","LysoPE 18:2","C23 H44 N O7 P",477.28629,8.42,476.27902,"No results","No results","Full match",NA,NA,NA,NA,290113.2491,460544.8305,386050.2389,222139.4671,292501.0153,201317.8585,17.8461013162703,18.5058892701942,-0.659787953923921,0.0612415918096534,0.271122341281329,"stable",1.40280331053628
"20-Carboxy-Leukotriene B4","Com_16472_neg","20-Carboxy-Leukotriene B4","C20 H30 O6",366.20387,6.966,347.18582,"No results","No results","Full match",NA,NA,NA,NA,239872.157,335460.1334,144644.2248,258767.8454,289864.4395,496785.6013,18.3495271653819,17.7899457257794,0.5595814396025,0.29007381439822,0.430045791987993,"stable",0.922672972821445
"LPS 20:0","Com_16514_neg","LPS 20:0","C26 H52 N O9 P",553.3386,11.497,552.33132,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",932398.082799999,755431.486000001,679107.4308,184753.2597,1045058.522,468244.9797,18.7757655324727,19.5769360651746,-0.801170532701931,0.383035638063298,0.473487286910803,"stable",0.845632035202666
"Mag (18:1)","Com_16562_neg","Mag (18:1)","C21 H40 O4",356.29278,10.122,401.29099,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Lineolic acids and derivatives",311030.1603,229189.3538,105819.9441,89938.7596000001,168358.5258,127340.0034,16.9253862684988,17.581375832734,-0.655989564235245,0.301119633380813,0.435284856196347,"stable",0.927450517299745
"Lysopc 16:1","Com_16612_neg","Lysopc 16:1","C24 H48 N O7 P",493.31705,10.052,492.30977,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",662549.077299999,606486.983500001,429937.5522,153278.5528,311596.4192,335239.0262,17.9433153432888,19.0871841851014,-1.14386884181257,0.0664271175798157,0.274807013271101,"stable",1.43897634079111
"PA 16:0_18:1","Com_16681_neg","PA 16:0_18:1","C37 H71 O8 P",674.48689,8.568,673.47961,"No results","Full match","No results",NA,NA,NA,NA,529363.7814,638070.6458,428071.0591,403355.8924,658791.3633,114870.3705,18.2536010385856,19.0015824600159,-0.74798142143025,0.425130947971505,0.492320760505743,"stable",0.772953207693243
"PE 14:0_16:0","Com_16759_neg","PE 14:0_16:0","C35 H70 N O8 P",617.47881,10.713,616.47154,"No results","Invalid mass","No results",NA,NA,NA,NA,463526.0713,526264.9422,579776.319800001,2352569.204,2231906.076,333478.0224,20.2009609255759,18.9909525367998,1.21000838877612,0.321460439025097,0.445370861450012,"stable",0.961959873321928
"N-Acetyl-D-tryptophan","Com_16762_neg","N-Acetyl-D-tryptophan","C13 H14 N2 O3",246.10101,5.314,245.09373,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",307859.5,318774.6201,330176.1525,309121.2922,334396.2104,1847862.486,19.1354794815615,18.2823220684613,0.853157413100256,0.417417385962727,0.488875605316972,"stable",0.798257837313777
"D-Fructose 1,6-bisphosphate","Com_16766_neg","D-Fructose 1,6-bisphosphate","C6 H14 O12 P2",339.99763,5.641,338.99036,"No results","No results","Full match",NA,NA,NA,NA,270355.1865,247584.0154,937810.636099999,237322.3807,257114.7907,286120.7846,17.9849354970154,18.6003307572854,-0.615395260269985,0.426045485370479,0.492724104219806,"stable",0.779955944262593
"PC 16:1_22:6","Com_16786_neg","PC 16:1_22:6","C46 H78 N O8 P",849.55851,9.278,848.55124,"No results","Invalid mass","No results",NA,NA,NA,NA,431366.3033,479617.3522,362243.2108,101238.4046,241882.3552,275933.2198,17.5284342622455,18.6855591375238,-1.15712487527834,0.117528252062927,0.323898684895428,"stable",1.37232155565545
"D-Xylonic Acid","Com_16789_neg","D-Xylonic Acid","C5 H10 O6",166.04774,5.53,165.04065,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",501463.8144,581758.2062,569309.9178,572961.5387,880381.980800001,898945.946600001,19.5512412360407,19.0682336373682,0.483007598672554,0.140320769092598,0.337346149741568,"stable",1.30036402443049
"PE 18:0_20:4","Com_16848_neg","PE 18:0_20:4","C43 H78 N O8 P",767.54426,9.097,766.53699,"No results","Full match","No results",NA,NA,NA,NA,147135.7172,399582.269,223629.7437,294708.2916,234753.7561,60030.58497,17.2943756491486,17.8485578595962,-0.554182210447578,0.548963696633606,0.538658096468219,"stable",0.559571962651327
"Oleoyl-L-alpha-lysophosphatidic acid","Com_16909_neg","Oleoyl-L-alpha-lysophosphatidic acid","C21 H40 Na O7 P",458.24296,9.289,457.23568,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1-acylglycerol-3-phosphates",1168170.092,947091.230100001,629033.8591,192748.5239,731873.813100001,231791.431,18.2866877979991,19.7572469832471,-1.47055918524802,0.119758646496939,0.325385879579293,"stable",1.31742462716498
"geranyl pp","Com_17050_neg","geranyl pp","C10 H20 O7 P2",314.06739,5.233,295.04944,"No results","No results","Full match","Lipids and lipid-like molecules","Prenol lipids","Isoprenoid phosphates","Isoprenoid phosphates",143749.7657,138536.4458,147724.8195,157778.8106,146391.7967,563709.6772,17.8438706456642,17.1285529435385,0.715317702125699,0.374610515891477,0.469690770520471,"stable",0.870342373117799
"LPC 20:2","Com_17094_neg","LPC 20:2","C28 H54 N O7 P",593.36978,10.009,592.3625,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",564966.8346,498789.7822,209719.8965,195382.3537,544152.732899999,551055.1193,18.5671432909455,18.5713277509941,-0.00418446004857742,0.995312889895852,0.659585082232809,"stable",0.00552303456718396
"PC 14:0_14:0","Com_17134_neg","PC 14:0_14:0","C36 H72 N O8 P",723.50421,9.127,722.49693,"No results","Invalid mass","No results",NA,NA,NA,NA,166129.7426,178959.4177,155843.5712,132028.5249,149825.6243,123788.7501,17.040311892125,17.346987639592,-0.30667574746699,0.0419816693895292,0.25480206012571,"down",1.48259459031362
"Uridine 5'-Diphospho-N-Acetylgalactosamine","Com_17159_neg","Uridine 5'-Diphospho-N-Acetylgalactosamine","C17 H27 N3 O17 P2",607.08142,6.914,606.07414,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",299540.5054,317754.6387,365002.3282,673586.214000001,398504.1243,505702.9908,18.971223000397,18.3158304602949,0.655392540102088,0.0809441943169006,0.291559592168395,"stable",1.43623092470268
"GTP","Com_17259_neg","GTP","C10 H16 N5 O14 P3",522.99058,11.921,521.98331,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside triphosphates",2001181.577,1158370.638,1689024.764,1885246.652,2117485.299,2154427.846,20.9663719103097,20.5879484012172,0.378423509092492,0.242099140706849,0.403791672707638,"stable",1.09139254895563
"LPC 22:6","Com_17302_neg","LPC 22:6","C30 H50 N O7 P",613.33805,9.073,612.33077,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",551056.1511,553738.7858,447990.3468,136324.1595,865217.619900001,127931.5952,17.9147994464859,18.9745979929275,-1.05979854644158,0.361794011299355,0.463702688098887,"stable",0.888965616245897
"2-Methylbutyl beta-D-glucopyranoside","Com_17392_neg","2-Methylbutyl beta-D-glucopyranoside","C11 H22 O6",296.14467,7.828,295.13739,"Invalid mass","No results","No results",NA,NA,NA,NA,445156.000499999,3982472.998,374690.8676,297156.9539,313348.4936,430064.5078,18.3841558990974,19.7348419720353,-1.35068607293791,0.343139323346273,0.455411678642241,"stable",0.918118818671407
"All-cis-4,7,10,13,16-docosapentaenoic acid","Com_17485_neg","All-cis-4,7,10,13,16-docosapentaenoic acid","C22 H34 O2",330.25592,7.871,329.24864,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",117233.7714,107189.449,114952.4549,92078.00284,109204.2998,88355.5312000001,16.5527572966846,16.7865032761481,-0.233745979463492,0.114964229480673,0.322135523531604,"stable",1.33410470662671
"6-phospho-D-glucono-1,5-lactone","Com_17718_neg","6-phospho-D-glucono-1,5-lactone","C6 H11 O9 P",258.01359,4.994,257.00632,"No results","No results","Full match",NA,NA,NA,NA,414867.2452,1157509.768,446287.2632,308216.1679,442798.6587,1000455.445,18.974033277077,19.1908320923789,-0.216798815301846,0.769944531282492,0.599818059255878,"stable",0.273152912675992
"LPI 16:1","Com_17789_neg","LPI 16:1","C25 H47 O12 P",570.28016,9.253,569.27289,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",1388842.221,1278862.32,1219750.812,1427163.418,2161418.358,3435234.938,21.0667477870572,20.3033452726646,0.763402514392677,0.169737266503732,0.352207689521984,"stable",1.26826419247347
"Tauroursodeoxycholic acid","Com_18001_neg","Tauroursodeoxycholic acid","C26 H45 N O6 S",499.29758,7.755,498.2903,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Taurinated bile acids and derivatives",308787.987,324333.4841,348644.5414,659838.9671,309628.7843,73918.72039,17.9151955621897,18.3182576399291,-0.403062077739325,0.706023868245335,0.580376390597253,"stable",0.375107616271992
"Gentisic acid","Com_18078_neg","Gentisic acid","C7 H6 O4",154.02691,5.031,153.01964,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",127517.2638,180114.4759,121191.261,149212.2108,193726.8779,435089.5626,17.8272078547661,17.1019379362034,0.725269918562741,0.25527106593388,0.41163203403567,"stable",1.03951219224992
"5-Methyl-dl-tryptophan","Com_18106_neg","5-Methyl-dl-tryptophan","C12 H14 N2 O2",218.10578,5.255,253.07527,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",139529.9708,134976.4849,143928.7456,153724.38,147084.7743,989351.597900001,18.1041328810809,17.0891864375753,1.01494644350564,0.379141280646589,0.47174580170663,"stable",0.862846297560755
"Alanyltyrosine","Com_18154_neg","Alanyltyrosine","C12 H16 N2 O4",252.11122,4.756,251.10395,"Full match","No results","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",532169.249199999,537474.0614,696978.758999999,781033.700200001,809395.6283,1005974.193,19.7138908898194,19.1560387975556,0.55785209226385,0.0315898126935374,0.248023908419698,"up",1.50589503593423
"Erucic acid","Com_18371_neg","Erucic acid","C22 H42 O2",338.31868,9.635,337.3114,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",1032114.197,1388104.616,1198059.362,1484099.647,659916.7732,295444.0529,19.3352021754859,20.1913746694249,-0.856172493938985,0.330075553363262,0.449464804858544,"stable",0.937702834954343
"L-(-)-alpha-Amino-epsilon-Caprolactam","Com_18477_neg","L-(-)-alpha-Amino-epsilon-Caprolactam","C6 H12 N2 O",128.09498,6.238,127.08771,"No results","No results","Full match","Organoheterocyclic compounds","Azepines","Not available","Azepines",209568.247,190252.5932,247706.1929,474443.1294,245961.3667,354281.8264,18.3994952591942,17.7109625403452,0.688532718848997,0.114277852363193,0.32165347331859,"stable",1.33973390033025
"2-Phosphoglyceric acid","Com_18485_neg","2-Phosphoglyceric acid","C3 H7 O7 P",185.99295,2.754,184.98567,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",1697227.804,1564560.683,1302251.28,1365965.439,2207050.526,669811.8944,20.2695247492669,20.5282171324234,-0.25869238315649,0.659636800351251,0.569534549756308,"stable",0.432380669682006
"PC 17:0_18:1","Com_18593_neg","PC 17:0_18:1","C43 H84 N O8 P",819.5959,11.718,818.58862,"No results","Invalid mass","No results",NA,NA,NA,NA,260461.0165,43547.0061,135261.8333,102629.1879,458107.5786,49501.54343,17.0158647868965,16.8154630452172,0.200401741679254,0.876729810922821,0.630552428467053,"stable",0.14594697063854
"3-(2,4-difluoroanilino)-2-(2-thienylsulfonyl)acrylonitrile","Com_18716_neg","3-(2,4-difluoroanilino)-2-(2-thienylsulfonyl)acrylonitrile","C13 H8 F2 N2 O2 S2",325.99879,8.53,324.99152,"Full match","No results","No results",NA,NA,NA,NA,81887.21326,82496.96837,73556.71823,64086.31716,338306.4213,57530.15983,16.7159102125694,16.2733245162024,0.442585696366983,0.646421870920626,0.566243248805607,"stable",0.455606899820948
"LNAPE 16:1/N-18:0","Com_18743_neg","LNAPE 16:1/N-18:0","C39 H76 N O8 P",1435.06265,7.05,716.52405,"No results","Invalid mass","No results",NA,NA,NA,NA,2217852.676,2251446.28,1274643.656,1046354.99,2352592.996,7943978.85300001,21.3613972104258,20.8216050923552,0.539792118070615,0.597315740401648,0.553125981711702,"stable",0.511726375816787
"Gly-Tyr-Ala","Com_18746_neg","Gly-Tyr-Ala","C14 H19 N3 O5",309.13215,4.764,308.12488,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Oligopeptides",262090.6417,222881.9625,290848.0679,405681.8933,286243.7503,844252.775800001,18.8147298493236,17.9718442837038,0.842885565619842,0.203393830294122,0.377289199690078,"stable",1.1748654355116
"Phosphopyruvic acid","Com_18793_neg","Phosphopyruvic acid","C3 H5 O6 P",167.98223,2.614,166.97495,"No results","No results","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Phosphate esters",3144090.158,1943048.174,2103091.44,1846187.138,2783831.501,1058705.867,20.7462094094158,21.1593938480887,-0.413184438672911,0.432307474550957,0.49545732185027,"stable",0.72666889002733
"lithocholic acid","Com_19192_neg","lithocholic acid","C24 H40 O3",376.2975,9.068,375.29022,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Monohydroxy bile acids, alcohols and derivatives",392718.8656,530608.192,426154.654800001,295543.709,404178.2805,464046.5065,18.5405180435246,18.7671474559114,-0.226629412386725,0.391366301167785,0.477137487183227,"stable",0.774974825646225
"PE O-21:2_16:1","Com_19221_neg","PE O-21:2_16:1","C42 H80 N O7 P",741.56581,8.823,740.55853,"No results","Full match","No results",NA,NA,NA,NA,218647.5268,301515.1232,202194.3452,325410.4464,243492.9454,160045.2166,17.8311805072523,17.8551671561402,-0.0239866488878846,0.948712891665201,0.648737604812751,"stable",0.0612687329915337
"DL-Panthenol","Com_19243_neg","DL-Panthenol","C9 H19 N O4",205.13154,5.423,204.12427,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines",150606.9504,180624.1811,381186.8641,170178.943,494123.2913,190174.1389,17.9427220313462,17.734399741698,0.20832228964812,0.760643537172215,0.596897236228858,"stable",0.284898732617698
"4-Hydroxybenzoic acid","Com_19332_neg","4-Hydroxybenzoic acid","C7 H6 O3",138.02891,5.12,137.02164,"No results","Invalid mass","No results","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",256605.7525,250955.2686,307699.9794,343833.4159,336441.683,471698.176800001,18.5329505557376,18.0458098392148,0.487140716522795,0.0701093478637307,0.277958556145039,"stable",1.41227162431166
"Palmitic acid","Com_1368_neg","Palmitic acid","C16 H32 O2",256.24021,0.42,255.23294,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",9882050.103,11301420.54,9502721.552,9941007.638,12040961.84,1191852.346,22.3170606844109,23.2820963513981,-0.965035666987184,0.462129653546362,0.507825452359623,"stable",0.725165941514642
"L-Cysteine-glutathione gisulfide","Com_60_neg","L-Cysteine-glutathione gisulfide","C13 H22 N4 O8 S2",426.08817,1.437,425.0809,"No results","No results","Full match",NA,NA,NA,NA,178795661.7,209304931.8,301445269.9,485359839.8,825710164.1,851416063.4,29.3802762636892,27.7406961353906,1.63958012829857,0.00956218527381055,0.218886339606218,"up",1.62813021651614
"S-(Methyl)Glutathione","Com_163_neg","S-(Methyl)Glutathione","C11 H19 N3 O6 S",321.09941,2.738,320.09213,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",111242871.5,152243599.8,103056483.8,133683126.5,20782144.37,22030691.97,25.2320316003767,26.8432680074218,-1.61123640704507,0.205654429786381,0.378999514065629,"stable",1.17955565960359
"AICA ribonucleotide","Com_78_neg","AICA ribonucleotide","C9 H15 N4 O8 P",338.0627,1.487,337.05544,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Imidazole ribonucleosides and ribonucleotides","1-ribosyl-imidazolecarboxamides","1-ribosyl-imidazolecarboxamides",1229421.865,1194438.764,1317355.945,296475757.3,20483408.52,515094412,27.1238510059875,20.2488879526814,6.87496305330612,0.0408886003809603,0.254237439833711,"up",1.62980320004907
"LPE 18:0","Com_135_neg","LPE 18:0","C23 H48 N O7 P",481.3171,10.238,480.30982,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",201813725.3,169552523.3,125002487.5,86500635.1800001,202228036.8,159984041.5,27.0703226457685,27.2743292105026,-0.204006564734154,0.657365786543406,0.568975665183385,"stable",0.419318921083239
"3-Hydroxyanthranilic acid","Com_2171_neg","3-Hydroxyanthranilic acid","C7 H7 N O3",153.04262,6.12,152.03533,"Full match","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",4912244.274,5967079.44199999,6352228.364,7570767.228,4364887.199,8407173.911,22.6375701691989,22.4451252583254,0.192444910873537,0.589716776557124,0.550961009066684,"stable",0.517823684451469
"7-Methylxanthine","Com_305_neg","7-Methylxanthine","C6 H6 N4 O2",166.04766,1.348,165.04038,"Invalid mass","No results","No match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines",32346371.47,35480406.79,39621932.6,45021860.39,43932390.97,58232565.91,25.5360756246805,25.0891385592049,0.446937065475549,0.0539357641235563,0.265895892464826,"stable",1.45113326039769
"2-Furoic acid","Com_246_neg","2-Furoic acid","C5 H4 O3",112.01604,2.065,111.00876,"No results","No results","Full match","Organoheterocyclic compounds","Furans","Furoic acid and derivatives","Furoic acids",422989743.1,386483033.5,414330238.2,463810456.5,382393380.3,347609436.3,28.5574448060193,28.6026943842488,-0.0452495782295692,0.753321182621644,0.594567602790219,"stable",0.306165537608023
"Cytidine 5'-Monophosphate-N-Acetylneuraminic Acid","Com_62_neg","Cytidine 5'-Monophosphate-N-Acetylneuraminic Acid","C20 H31 N4 O16 P",614.14949,2.314,613.14221,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",1114561876,1313314481,1287451629,949022950.299999,1028711670,550368127.2,29.5986269828757,30.2020886408692,-0.603461657993545,0.160008835516951,0.346472758150364,"stable",1.26719783833303
"N-Acetyl-L-leucine","Com_231_neg","N-Acetyl-L-leucine","C8 H15 N O3",173.10529,5.387,172.09801,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Leucine and derivatives",92529145.93,102711688.2,84325175.5700001,102737386.2,112183889.3,153783216.9,26.8506663738512,26.4689632477346,0.381703126116548,0.150593186022997,0.342345495296322,"stable",1.23608066676344
"LPE 18:1","Com_214_neg","LPE 18:1","C23 H46 N O7 P",479.3014,9.668,478.29412,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",89881679.14,69392608.29,56599030.81,43109307.24,100703944,85807734.9999999,26.1005484519805,26.074692137712,0.0258563142685659,0.955034330198822,0.650249454418599,"stable",0.0540638796063526
"Hypotaurine","Com_3674_neg","Hypotaurine","C2 H7 N O2 S",109.01999,1.304,263.03845,"No results","No results","Full match","Organic acids and derivatives","Sulfinic acids and derivatives","Sulfinic acids","Sulfinic acids",492348.3756,508506.8247,483670.4897,562816.3602,599922.194100001,473286.5551,19.0496916778711,18.9162975250917,0.133394152779477,0.320752678057282,0.445028170780971,"stable",0.951336777172332
"Reduced nicotinamide adenine dinucleotide","Com_182_neg","Reduced nicotinamide adenine dinucleotide","C21 H29 N7 O14 P2",665.12563,2.153,664.11836,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",1402781474,546514557.099999,335741458.1,1907759133,1700443126,1305573143,30.5915105445991,29.2447010915028,1.34680945309634,0.148604846918905,0.341420724565821,"stable",1.29306858191954
"Allantoin","Com_355_neg","Allantoin","C4 H6 N4 O3",158.04409,1.359,315.08104,"No results","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazoles",68915132.4400001,88046564.1300001,90738070.5999999,128517620.2,83695572.7,77584166.23,26.4884326061342,26.2884284960954,0.200004110038794,0.49450713239818,0.520149397276292,"stable",0.635853682521115
"Glu-Gln","Com_463_neg","Glu-Gln","C10 H17 N3 O6",275.11171,1.442,274.10443,"No results","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",8145559.801,9487712.107,9736897.24100001,37147480.96,18192711.61,23230040.34,24.5777022086514,23.1167473030202,1.46095490563117,0.0331041477276043,0.249249224914142,"up",1.62397610197788
"Adenylosuccinic acid","Com_306_neg","Adenylosuccinic acid","C14 H18 N5 O11 P",463.07457,4.671,462.06733,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",218743587.1,282011370.1,297527033.8,191608590.3,132764509.3,43451865.1,26.6235986880986,27.9747630298833,-1.35116434178465,0.165818579095684,0.34955193348348,"stable",1.26534147716419
"Tetradecanedioic acid","Com_6350_neg","Tetradecanedioic acid","C14 H26 O4",258.18323,7.131,257.17596,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",2839187.294,2850508.194,2948513.621,2714022.065,2601928.613,3044192.059,21.4069263067387,21.4571302461996,-0.0502039394608822,0.539309489412991,0.535560270423673,"stable",0.597457255800577
"Porphobilinogen","Com_743_neg","Porphobilinogen","C10 H14 N2 O4",244.10601,4.942,289.10426,"Invalid mass","No results","No results","Organic nitrogen compounds","Organonitrogen compounds","Amines","Aralkylamines",394702.0176,441347.5605,527064.4305,2579895.931,1147950.195,1858490.367,20.7517366132211,18.783193291384,1.96854332183713,0.0189881068291548,0.232779453594822,"up",1.65881959712769
"LPE 20:4","Com_704_neg","LPE 20:4","C25 H44 N O7 P",501.2858,9.085,500.27853,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",20356110.44,14352991.87,13388491.07,10361647.96,24806587.43,20928202.3,24.0626383797889,23.9094322620698,0.153206117719122,0.745163892300695,0.592054414604477,"stable",0.31088854817781
"10-Nitrolinoleate","Com_357_neg","10-Nitrolinoleate","C18 H31 N O4",325.22521,6.5,324.21793,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Lineolic acids and derivatives",63911806.55,63775156.12,62644117.78,55705725.3800001,60872213.9499999,122588706.4,26.1532845384158,25.918915344678,0.234369193737795,0.58176097229381,0.548652588818597,"stable",0.546778857855257
"Thymidine 5'-diphosphate","Com_2655_neg","Thymidine 5'-diphosphate","C10 H16 N2 O11 P2",402.02309,4.544,401.01582,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside diphosphates",23249896.85,23335495.77,29976163.94,43898687.69,36093302.05,11963714.33,24.668354769561,24.5946853997659,0.073669369795045,0.912168760750928,0.639734876798345,"stable",0.108914432733237
"PC 16:0_16:1","Com_90_neg","PC 16:0_16:1","C40 H78 N O8 P",777.55379,11.732,776.54651,"No results","Invalid mass","No results",NA,NA,NA,NA,765520881,579011212.9,453144103.2,382261415.6,364554272.3,681702136,28.7653696585434,29.1254257352946,-0.360056076751263,0.381758856490181,0.47291883843101,"stable",0.784284273074559
"LPE 22:6","Com_1142_neg","LPE 22:6","C27 H44 N O7 P",525.28567,9.034,524.2784,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",15300929.09,11458979.43,9994953.18999999,7833316.617,16883882.05,13224157.54,23.5223358808571,23.5232865083169,-0.000950627459772591,0.998123858407241,0.660218029468556,"stable",0.00224721946167677
