"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_2w_1","MV4_11_2w_2","MV4_11_2w_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"dCDP","Com_13824_neg","dCDP","C9 H15 N3 O10 P2",387.02387,1.789,386.01659,"No results","No results","Full match","Organic oxygen compounds","Organic oxoanionic compounds","Organic pyrophosphates","Organic pyrophosphates",598317.9564,599949.966399999,372866.0418,535935.2788,550649.7426,540794.277700001,594888.8339,483898.38,248738.3598,18.8563449470542,18.964444462181,-0.108099515126778,0.731397466756823,0.922508891806685,"stable",0.342666567567243
"LPC 17:1","Com_13835_neg","LPC 17:1","C25 H50 N O7 P",553.33816,9.326,552.33088,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",594321.8337,808685.244000001,830018.5654,1308982.659,639001.642999999,819529.9059,425181.8928,1277144.876,523557.9833,19.5383521548357,19.489629232991,0.0487229218447851,0.88114951975012,0.934820169343657,"stable",0.119194036626239
"LPE 17:0","Com_14072_neg","LPE 17:0","C22 H46 N O7 P",467.30125,9.74,466.29397,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",458966.9399,803647.3775,1141832.006,1214290.246,562627.313899999,577307.809,405864.8954,1316955.319,1082773.675,19.5763664077649,19.5157175937524,0.0606488140125201,0.904986176609272,0.936427817227229,"stable",0.124607349616312
"Sorbitan monooleate","Com_14239_neg","Sorbitan monooleate","C24 H44 O6",428.31383,9.007,427.30655,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Fatty acid esters",126630.9729,123371.0371,196116.5302,126546.8135,128928.2014,127222.1685,141876.0654,113966.884,303790.9606,17.1679594701408,17.1480888760412,0.0198705940996042,0.950137553543233,0.939265343799393,"stable",0.0586248577830016
"8Z,11Z,14Z-Eicosatrienoic acid","Com_14297_neg","8Z,11Z,14Z-Eicosatrienoic acid","C20 H34 O2",306.25584,9.407,305.24857,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",256575.4621,263569.7886,404764.6097,581622.6767,358859.3249,283219.6064,1295547.4,644700.5688,388283.6875,18.9807493611513,18.2011909311677,0.779558429983563,0.0827273556037145,0.58595119269278,"stable",1.37817483687942
"Glycocholic acid","Com_14310_neg","Glycocholic acid","C26 H43 N O6",465.30998,9.987,464.3027,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Glycinated bile acids and derivatives",96046.11235,94891.0877,145519.9839,601023.836099999,111175.275,184095.7283,687973.965299999,508678.9536,620005.2652,18.5066578369389,16.7454274449944,1.76123039194445,0.0101757474996927,0.316075245618815,"up",1.88178985180933
"SM 8:1;2O/23:0","Com_14370_neg","SM 8:1;2O/23:0","C36 H73 N2 O6 P",706.52684,10.746,705.51956,"No results","Invalid mass","No results",NA,NA,NA,NA,624416.906700001,266007.9993,282272.2977,695925.728799999,919943.077600001,336066.0433,261619.1218,503880.7251,350040.5881,18.8225230072106,18.4599960677631,0.362526939447481,0.49702598234177,0.889988053858568,"stable",0.72220178679253
"PC 18:1_20:3","Com_14468_neg","PC 18:1_20:3","C46 H84 N O8 P",855.60017,8.478,854.59289,"No results","Invalid mass","No results",NA,NA,NA,NA,6374271.61599999,3804828.875,9812318.969,3685368.004,1456735.718,1420334.778,4306793.97499999,1617709.392,14736277.15,21.5336762094282,22.5631306349186,-1.02945442549033,0.167670343608687,0.731839704341521,"stable",1.13671704152215
"4-Hydroxy-2-Oxoglutaric Acid","Com_14602_neg","4-Hydroxy-2-Oxoglutaric Acid","C5 H6 O6",162.01616,2.326,161.00889,"No results","No results","Full match","Organic acids and derivatives","Keto acids and derivatives","Gamma-keto acids and derivatives","Gamma-keto acids and derivatives",6687260.23900001,759982.302799999,4851724.732,7845256.739,8065110.489,852028.936299999,922653.912900001,777453.831400001,3778118.78,21.1300431959959,21.472885466213,-0.342842270217073,0.786277826101934,0.92752559831373,"stable",0.296439588293888
"PE O-16:1_20:5","Com_14664_neg","PE O-16:1_20:5","C41 H72 N O7 P",721.50233,11.141,720.49506,"No results","Full match","No results",NA,NA,NA,NA,10375793.98,10928747.74,6813564.962,17048281.57,32600016.62,20795008.09,49894.69257,17082885.42,23563.21073,21.2413536433613,23.1294405245019,-1.8880868811406,0.381955191188901,0.861437387659815,"stable",0.643851566022885
"Riboflavin-5-phosphate","Com_14753_neg","Riboflavin-5-phosphate","C17 H21 N4 O9 P",456.10532,5.652,455.09804,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Flavin nucleotides","Not available","Flavin nucleotides",2146178.73,2124893.711,1231983.248,1790536.12,1874201.251,1531485.422,2905515.288,1985102.012,899950.5742,20.721155902998,20.7616164171308,-0.040460514132775,0.912039048184641,0.936888399828546,"stable",0.109361333496372
"20-Hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoic acid","Com_14856_neg","20-Hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoic acid","C20 H32 O3",320.23504,8.586,319.22775,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",3206934.158,1010957.078,1395316.409,1627789.312,1346297.756,1650505.916,1951499.503,1761875.055,2095505.597,20.7155373859299,20.6574048333967,0.0581325525331948,0.918189792189044,0.937284655864541,"stable",0.166953230373113
"Tanespimycin","Com_14886_neg","Tanespimycin","C31 H43 N3 O8",567.28541,7.289,566.27813,"Invalid mass","No results","No results","Phenylpropanoids and polyketides","Macrolactams","Not available","Macrolactams",1596666.367,1706527.868,845408.0566,745703.137800001,712128.0996,554735.7764,354638.2852,593840.3766,326586.8703,18.9940453472313,20.332850777605,-1.33880543037365,0.0281967553581556,0.432816731968808,"down",2.16152078723492
"Docosanoic Acid","Com_15140_neg","Docosanoic Acid","C22 H44 O2",340.334,11.214,339.32672,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",1027045.643,468402.8403,392525.9036,1028780.926,676180.6682,359519.6974,645796.404,1606508.486,346777.6548,19.3525222284063,19.1299625012818,0.222559727124569,0.704343395475865,0.919771229504441,"stable",0.381137176417895
"2-(1H-indol-3-yl)-3-[4-(trifluoromethyl)phenyl]acrylonitrile","Com_15182_neg","2-(1H-indol-3-yl)-3-[4-(trifluoromethyl)phenyl]acrylonitrile","C18 H11 F3 N2",312.08986,6.742,311.08258,"Invalid mass","No results","No results",NA,NA,NA,NA,160409.1009,152844.1313,129275.2778,136187.0246,159506.4203,150519.8468,281869.6299,2804666.602,76342.70984,17.8803913411688,17.1643949944091,0.715996346759734,0.385227916981592,0.862452638095097,"stable",0.639846823053053
"Vitamin B2","Com_15202_neg","Vitamin B2","C17 H20 N4 O6",376.13882,5.688,375.13165,"No results","No results","Full match","Organoheterocyclic compounds","Pteridines and derivatives","Alloxazines and isoalloxazines","Flavins",659110.037800001,652210.6487,323077.1048,791659.403200001,1122964.279,511934.467100001,435837.1168,497556.3239,365948.7274,19.1330354057118,18.9822190925449,0.150816313166924,0.736662928249882,0.923020138691197,"stable",0.357720603093408
"LPC 20:5","Com_15219_neg","LPC 20:5","C28 H48 N O7 P",587.32252,8.671,586.31525,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",382466.8303,390502.7132,880668.110900001,221824.8823,135723.2242,166623.2487,147930.3948,242370.9696,838948.038300001,17.8158730406297,18.9560623522292,-1.14018931159941,0.0902866573388196,0.605134121958677,"stable",1.50255605414256
"5 methyl THF","Com_15267_neg","5 methyl THF","C20 H25 N7 O6",459.18721,4.92,458.17993,"No results","No results","Full match","Hydrocarbons","Unsaturated hydrocarbons","Branched unsaturated hydrocarbons","Branched unsaturated hydrocarbons",100218.0907,157529.9576,504998.153,730181.0954,581249.989,334143.0546,98789.2541300001,111323.2864,357485.6358,18.1301314231054,17.607989568505,0.522141854600381,0.571986405551805,0.903007044313411,"stable",0.604335638963797
"Isoproterenol","Com_15334_neg","Isoproterenol","C11 H17 N O3",211.12098,5.786,210.11375,"No results","No results","Full match","Benzenoids","Phenols","Benzenediols","Catechols",331246.4851,330430.1492,238894.0301,340775.1463,238339.9054,322840.2771,363119.7957,305368.3344,164046.0798,18.0926002058778,18.1791808995147,-0.0865806936369324,0.725228858395376,0.921901248951078,"stable",0.313663941318603
"Glutathione (oxidized)","Com_15376_neg","Glutathione (oxidized)","C20 H32 N6 O12 S2",612.153,4.844,611.14573,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",287625.6902,265548.4998,128128.505,410751.3687,253339.9824,313588.4255,141450.043,790096.905900001,28082.53535,17.7226871076299,17.7065602711144,0.0161268365155465,0.983921178712985,0.941228150021647,"stable",0.0159811219309107
"4-morpholino-3-nitrobenzene-1-sulfonamide","Com_15379_neg","4-morpholino-3-nitrobenzene-1-sulfonamide","C10 H13 N3 O5 S",287.05745,4.918,286.05017,"Full match","No results","No results",NA,NA,NA,NA,4064776.798,4446847.624,2858025.05,2853684.875,2614165.796,2297422.946,4263086.469,3182065.386,1373737.61,21.3180954721497,21.8285611245696,-0.510465652419988,0.132678455912397,0.683500419132636,"stable",1.29021469830502
"PC 17:1_18:2","Com_15409_neg","PC 17:1_18:2","C43 H80 N O8 P",815.56691,11.516,814.55964,"No results","Invalid mass","No results",NA,NA,NA,NA,2364828.573,2100919.492,948560.7223,1769016.618,5784639.605,2142717.467,1388564.612,1870667.411,230368.4083,20.5505316518217,20.6770914095312,-0.12655975770954,0.869969703842521,0.934037806518067,"stable",0.13492194575231
"Glutathione","Com_15428_neg","Glutathione","C10 H17 N3 O6 S",307.08378,7.464,306.07651,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",949539.205900001,624771.1588,5649315.88000001,2256531.076,1567335.428,594477.730300001,547400.6369,453270.795,2719100.346,20.0156283711236,20.5131603715968,-0.497532000473218,0.676553144231921,0.916750083935881,"stable",0.529099181085062
"N1-(4-cyclohexylphenyl)-2-[(4-methylphenyl)thio]acetamide","Com_15432_neg","N1-(4-cyclohexylphenyl)-2-[(4-methylphenyl)thio]acetamide","C21 H25 N O S",375.14619,7.514,374.13892,"Invalid mass","No results","No results",NA,NA,NA,NA,113279.0553,272968.9563,463194.9392,247847.8152,95674.2892099999,112541.1031,340963.0568,355654.43,223693.3891,17.6392611278247,17.889719647175,-0.25045851935031,0.734006903434889,0.922763099511118,"stable",0.405731915439779
"Pyridoxamine","Com_15500_neg","Pyridoxamine","C8 H12 N2 O2",168.08984,5.218,213.08798,"No results","No results","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridoxamines","Pyridoxamine 5'-phosphates",1207465.033,1439771.169,979293.289400001,1764480.559,1588055.937,1446378.381,1713721.647,1475762.519,2339395.436,20.6955151372422,20.1874465188127,0.508068618429451,0.0605372527851817,0.514540774180606,"stable",1.92921892625369
"Flavin adenine dinucleotide","Com_15629_neg","Flavin adenine dinucleotide","C27 H33 N9 O15 P2",785.1583,5.874,784.15102,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Flavin nucleotides","Not available","Flavin nucleotides",426392.3609,428216.838699999,268461.4509,305473.21,450072.592999999,386814.7084,466365.6845,362689.9861,162353.7745,18.3616714254915,18.4813864950453,-0.119715069553745,0.721615792748876,0.921540895633507,"stable",0.328182156402979
"LPE 15:0","Com_15661_neg","LPE 15:0","C20 H42 N O7 P",439.27002,9.057,438.26274,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",277498.8915,527526.8418,606785.210599999,760006.8366,479812.9449,518407.283199999,145137.0368,767874.3869,554869.248300001,18.861807867731,18.7672779526137,0.0945299151172669,0.856884298127389,0.933097894275843,"stable",0.165356765274031
"LysoPE 18:2","Com_15785_neg","LysoPE 18:2","C23 H44 N O7 P",477.28629,8.42,476.27902,"No results","No results","Full match",NA,NA,NA,NA,437682.3485,513649.8118,376739.0353,1179456.699,1032487.408,1428428.848,201317.8585,2079463.307,540560.387899999,19.707395537195,18.7443854218456,0.963010115349395,0.110428202748746,0.647443392019062,"stable",1.19898361518455
"20-Carboxy-Leukotriene B4","Com_16472_neg","20-Carboxy-Leukotriene B4","C20 H30 O6",366.20387,6.966,347.18582,"No results","No results","Full match",NA,NA,NA,NA,1078417.486,294655.8493,416091.7669,356767.4432,108435.2184,294321.234,496785.6013,309445.9044,176293.3171,17.9878900367366,18.958565986956,-0.970675950219373,0.219347802345352,0.781193548463481,"stable",1.4030408069572
"LPS 20:0","Com_16514_neg","LPS 20:0","C26 H52 N O9 P",553.3386,11.497,552.33132,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",109379.3404,101969.4012,136158.422,147258.6013,121612.0753,114507.0064,468244.9797,99591.0031600001,135762.8017,17.2260593675329,16.8105614028225,0.415497964710408,0.284613500957437,0.82246072791114,"stable",0.812008738060891
"Mag (18:1)","Com_16562_neg","Mag (18:1)","C21 H40 O4",356.29278,10.122,401.29099,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Lineolic acids and derivatives",84237.41824,71949.06391,89097.10244,72044.3788900001,78972.3774800001,75109.6354000001,127340.0034,79533.89086,148417.9967,16.5032139924644,16.3133175967154,0.18989639574896,0.384731572751285,0.862299622529755,"stable",0.678378960160197
"Lysopc 16:1","Com_16612_neg","Lysopc 16:1","C24 H48 N O7 P",493.31705,10.052,492.30977,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",255803.5534,585570.443199999,635023.7172,308044.9118,211477.5844,305472.8259,335239.0262,656101.344599999,868354.6324,18.591654248521,18.8002036462862,-0.2085493977652,0.70938663459037,0.92029613883741,"stable",0.38938606512078
"PA 16:0_18:1","Com_16681_neg","PA 16:0_18:1","C37 H71 O8 P",674.48689,8.568,673.47961,"No results","Full match","No results",NA,NA,NA,NA,106743.2558,95235.12403,715718.9099,89715.52206,107255.1511,106893.82,114870.3705,96097.86049,1237417.656,17.2450568840215,17.5640083681434,-0.318951484121925,0.790795421514759,0.927909777274234,"stable",0.298020527710666
"PE 14:0_16:0","Com_16759_neg","PE 14:0_16:0","C35 H70 N O8 P",617.47881,10.713,616.47154,"No results","Invalid mass","No results",NA,NA,NA,NA,298925.8599,275246.7233,207614.2755,259803.2321,329194.9536,279583.5966,333478.0224,272953.7265,162790.6349,18.0211249915137,17.9744467226787,0.0466782688349667,0.840566379542193,0.93188758584039,"stable",0.189602433947388
"N-Acetyl-D-tryptophan","Com_16762_neg","N-Acetyl-D-tryptophan","C13 H14 N2 O3",246.10101,5.314,245.09373,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",985682.535699999,609785.3708,225200.317,606681.7675,947719.1496,1206655.233,1847862.486,1222117.65,625648.998399999,19.9267723799736,18.9698516285002,0.956920751473461,0.262330211672398,0.810241606933339,"stable",1.4632406767793
"D-Fructose 1,6-bisphosphate","Com_16766_neg","D-Fructose 1,6-bisphosphate","C6 H14 O12 P2",339.99763,5.641,338.99036,"No results","No results","Full match",NA,NA,NA,NA,229255.0871,1141074.284,227285.8429,209488.8184,214363.1482,214176.9675,286120.7846,197858.5732,269603.0722,17.8092511927456,18.5742346014742,-0.764983408728583,0.427323736580614,0.874299254484893,"stable",1.29365699556328
"PC 16:1_22:6","Com_16786_neg","PC 16:1_22:6","C46 H78 N O8 P",849.55851,9.278,848.55124,"No results","Invalid mass","No results",NA,NA,NA,NA,252802.0353,320283.4222,158958.2302,483268.296199999,997990.285000001,450912.9403,275933.2198,199706.4005,57299.083,18.1802209275706,17.8383087812056,0.341912146364951,0.613580212771854,0.908983636018188,"stable",0.396232331656217
"D-Xylonic Acid","Com_16789_neg","D-Xylonic Acid","C5 H10 O6",166.04774,5.53,165.04065,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",708893.7709,524006.2683,852583.9951,598036.915,724904.7624,656799.2491,898945.946600001,727311.872899999,705883.7362,19.4435934017108,19.378638973018,0.0649544286927366,0.789297535018988,0.927782848272121,"stable",0.365564057477718
"PE 18:0_20:4","Com_16848_neg","PE 18:0_20:4","C43 H78 N O8 P",767.54426,9.097,766.53699,"No results","Full match","No results",NA,NA,NA,NA,266732.9833,50459.99646,156535.693,53491.59614,51886.21282,280848.3992,60030.58497,523683.547600001,165366.3525,16.9460953924795,16.9680071079191,-0.0219117154395576,0.981859440859333,0.941112006550966,"stable",0.0229521041732608
"Oleoyl-L-alpha-lysophosphatidic acid","Com_16909_neg","Oleoyl-L-alpha-lysophosphatidic acid","C21 H40 Na O7 P",458.24296,9.289,457.23568,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1-acylglycerol-3-phosphates",980587.170500001,801330.9208,831687.0922,685586.920700001,578333.862599999,615174.679999999,231791.431,669690.7912,562869.625,19.0062007156576,19.7270020992908,-0.720801383633233,0.0301113689192072,0.439636858386658,"down",1.61999716389907
"geranyl pp","Com_17050_neg","geranyl pp","C10 H20 O7 P2",314.06739,5.233,295.04944,"No results","No results","Full match","Lipids and lipid-like molecules","Prenol lipids","Isoprenoid phosphates","Isoprenoid phosphates",158477.6266,167281.3089,114422.5037,158224.8359,487701.6795,144320.3234,563709.6772,568443.2506,251798.9052,18.244888834628,17.1432825586261,1.10160627600185,0.033298319374299,0.449623239513922,"up",1.59915909502941
"LPC 20:2","Com_17094_neg","LPC 20:2","C28 H54 N O7 P",593.36978,10.009,592.3625,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",249804.2876,418336.9232,670412.1848,933361.7081,278215.7941,448833.627,551055.1193,702192.6118,779269.4751,19.1264749953523,18.6531444572005,0.473330538151785,0.389499092689418,0.863755457014965,"stable",0.963072460795314
"PC 14:0_14:0","Com_17134_neg","PC 14:0_14:0","C36 H72 N O8 P",723.50421,9.127,722.49693,"No results","Invalid mass","No results",NA,NA,NA,NA,110950.204,107544.2681,411756.2469,102996.249,751601.416000001,579310.0902,123788.7501,102115.5335,756574.655199999,18.0670505366165,17.3751849717359,0.691865564880668,0.462598964523991,0.882760728602804,"stable",0.695143278303797
"Uridine 5'-Diphospho-N-Acetylgalactosamine","Com_17159_neg","Uridine 5'-Diphospho-N-Acetylgalactosamine","C17 H27 N3 O17 P2",607.08142,6.914,606.07414,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",313722.587,347863.0255,249981.4893,325870.2461,292078.5868,262896.2694,505702.9908,296452.7671,162539.479,18.1516455816699,18.1995838125937,-0.0479382309238368,0.857456711042524,0.933139570044032,"stable",0.147345353490109
"GTP","Com_17259_neg","GTP","C10 H16 N5 O14 P3",522.99058,11.921,521.98331,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside triphosphates",2019608.123,2241497.882,1435702.026,2072690.915,1996327.707,2155355.451,2154427.846,1585361.181,728386.398899999,20.6768471689184,20.8316668613805,-0.154819692462041,0.640119935981103,0.912426758969815,"stable",0.399667609072501
"LPC 22:6","Com_17302_neg","LPC 22:6","C30 H50 N O7 P",613.33805,9.073,612.33077,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",449379.696,555676.088999999,693663.5518,538831.499099999,270582.8806,289077.6467,127931.5952,492264.9566,296542.3377,18.213041733689,19.0884455359091,-0.87540380222006,0.0423463242362814,0.471232586893943,"down",1.56275563555753
"2-Methylbutyl beta-D-glucopyranoside","Com_17392_neg","2-Methylbutyl beta-D-glucopyranoside","C11 H22 O6",296.14467,7.828,295.13739,"Invalid mass","No results","No results",NA,NA,NA,NA,453322.3828,57835.45292,19148505.36,810170.8619,846089.7571,204125.6252,430064.5078,413599.5316,32451752.25,19.880212877373,19.6001909438823,0.280021933490676,0.923566289042157,0.937626978193343,"stable",0.126692853906085
"All-cis-4,7,10,13,16-docosapentaenoic acid","Com_17485_neg","All-cis-4,7,10,13,16-docosapentaenoic acid","C22 H34 O2",330.25592,7.871,329.24864,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",83523.2144499999,75785.16868,67801.3759799999,73477.6871100001,82750.0015199999,79539.95,88355.5312000001,76680.84315,55439.14377,16.1995185191207,16.2028481547949,-0.00332963567420563,0.980271582358181,0.941022244651977,"stable",0.0222469910924245
"6-phospho-D-glucono-1,5-lactone","Com_17718_neg","6-phospho-D-glucono-1,5-lactone","C6 H11 O9 P",258.01359,4.994,257.00632,"No results","No results","Full match",NA,NA,NA,NA,1156265.905,722210.1104,527508.9208,547563.0622,571790.3186,404139.232,1000455.445,538300.854600001,124946.8902,18.7855865499735,19.5373122792394,-0.751725729265896,0.197922826727268,0.763118618462446,"stable",1.0889864041781
"LPI 16:1","Com_17789_neg","LPI 16:1","C25 H47 O12 P",570.28016,9.253,569.27289,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",4386568.946,3571165.954,3509844.533,4752918.219,4323555.377,5280076.60999999,3435234.938,6075528.812,3394681.869,22.0829495264192,21.8585336530022,0.224415873417044,0.233885760929869,0.791964786902618,"stable",0.993307952811054
"Tauroursodeoxycholic acid","Com_18001_neg","Tauroursodeoxycholic acid","C26 H45 N O6 S",499.29758,7.755,498.2903,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Taurinated bile acids and derivatives",322199.4064,421776.8694,226294.9947,167382.2463,150773.9748,166697.3216,73918.72039,172374.915,123478.9145,17.0640723239088,18.2571866376189,-1.19311431371008,0.0187392279662238,0.385365602073817,"down",2.16094423836883
"Gentisic acid","Com_18078_neg","Gentisic acid","C7 H6 O4",154.02691,5.031,153.01964,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",127083.7592,161018.1102,260071.669,116069.677,152068.5404,150561.943,435089.5626,131803.4658,45940.12461,17.0775733717328,17.4136111012902,-0.336037729557393,0.53959201348373,0.897779302819698,"stable",0.512700401387317
"5-Methyl-dl-tryptophan","Com_18106_neg","5-Methyl-dl-tryptophan","C12 H14 N2 O2",218.10578,5.255,253.07527,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",207568.4274,250182.2367,569053.0947,218422.6311,810466.5765,282458.1934,989351.597900001,1109382.282,1138542.6,19.2648399338726,18.2380170223036,1.02682291156897,0.153947574183437,0.714754495658744,"stable",1.29930460575392
"Alanyltyrosine","Com_18154_neg","Alanyltyrosine","C12 H16 N2 O4",252.11122,4.756,251.10395,"Full match","No results","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",716655.9114,869013.6659,696650.4643,1052846.861,1178858.9,1086161.389,1005974.193,1163622.377,477237.0774,19.8633884727783,19.5300052913797,0.333383181398609,0.185823064129644,0.751526772113503,"stable",1.02350897329674
"Erucic acid","Com_18371_neg","Erucic acid","C22 H42 O2",338.31868,9.635,337.3114,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",761393.204400001,342341.7472,208473.401,708590.3898,573982.364599999,204760.2621,295444.0529,774465.554399999,198668.4999,18.5906976817987,18.5309545578761,0.0597431239225656,0.931884831182426,0.938149318730071,"stable",0.0939223544162483
"L-(-)-alpha-Amino-epsilon-Caprolactam","Com_18477_neg","L-(-)-alpha-Amino-epsilon-Caprolactam","C6 H12 N2 O",128.09498,6.238,127.08771,"No results","No results","Full match","Organoheterocyclic compounds","Azepines","Not available","Azepines",542787.836499999,565609.304500001,383144.6476,700228.9165,897924.615000001,794753.324799999,354281.8264,791455.438599999,540194.562000001,19.3109426108607,18.9023349399239,0.408607670936778,0.178411549926716,0.743848769949853,"stable",1.16617475172259
"2-Phosphoglyceric acid","Com_18485_neg","2-Phosphoglyceric acid","C3 H7 O7 P",185.99295,2.754,184.98567,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",295774.9517,253632.3098,186305.9689,363424.0787,320018.022,429519.9702,669811.8944,261870.8978,123390.1077,18.2893689483859,17.8779445798003,0.411424368585525,0.322337312612003,0.839912251072935,"stable",0.788651345791787
"PC 17:0_18:1","Com_18593_neg","PC 17:0_18:1","C43 H84 N O8 P",819.5959,11.718,818.58862,"No results","Invalid mass","No results",NA,NA,NA,NA,82309.71217,35835.79439,82805.6987000001,165043.3298,35483.12746,34579.5841,49501.54343,33750.27761,15172.3491,15.3419863742879,15.9317770680654,-0.589790693777529,0.369408261266274,0.857402220454885,"stable",0.788132457006659
"3-(2,4-difluoroanilino)-2-(2-thienylsulfonyl)acrylonitrile","Com_18716_neg","3-(2,4-difluoroanilino)-2-(2-thienylsulfonyl)acrylonitrile","C13 H8 F2 N2 O2 S2",325.99879,8.53,324.99152,"Full match","No results","No results",NA,NA,NA,NA,52902.77882,47794.78764,111552.4525,48514.96249,54318.09994,58787.94273,57530.15983,48887.45525,286401.8774,16.1092348624037,16.0009947535661,0.108240108837631,0.853193696148356,0.93282793956847,"stable",0.168950394597568
"LNAPE 16:1/N-18:0","Com_18743_neg","LNAPE 16:1/N-18:0","C39 H76 N O8 P",1435.06265,7.05,716.52405,"No results","Invalid mass","No results",NA,NA,NA,NA,2204086.565,2238119.282,2023827.472,2589151.338,3798684.521,6732239.63300001,7943978.85300001,4346429.683,1227598.179,21.8406680233695,21.0380866100342,0.8025814133353,0.101679231377904,0.630441997235012,"stable",1.22770056469841
"Gly-Tyr-Ala","Com_18746_neg","Gly-Tyr-Ala","C14 H19 N3 O5",309.13215,4.764,308.12488,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Oligopeptides",579555.777599999,574121.983299999,403521.6985,749277.0828,475363.8806,583279.3741,844252.775800001,697890.430000001,285118.9216,19.1248001451043,18.9659574967729,0.158842648331465,0.60081447942672,0.907229182480744,"stable",0.440696000628639
"Phosphopyruvic acid","Com_18793_neg","Phosphopyruvic acid","C3 H5 O6 P",167.98223,2.614,166.97495,"No results","No results","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Phosphate esters",433359.4842,667273.4785,129933.5647,457210.1751,428136.9605,304768.0634,1058705.867,330353.2263,137250.2808,18.5235888227124,18.3535126748105,0.170076147901916,0.845526452091542,0.932260084053005,"stable",0.232760356449424
