"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_2","MOLM13_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"Methyl-2-hydroxyisobutyric acid","Com_13212_neg","Methyl-2-hydroxyisobutyric acid","C5 H10 O3",118.05033,2.632,117.04305,"No results","Invalid mass","No results","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Tertiary alcohols",2125012.652,1496241.472,504480.9943,797452.205800001,315703.5948,2099768.015,19.6250160692817,20.1587973289766,-0.533781259694894,0.724611039102515,0.526034761540223,"stable",0.425729337615277
"Estriol","Com_13213_neg","Estriol","C18 H24 O3",334.17567,6.647,333.1684,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrogens and derivatives",1136535.403,906531.003500001,1237932.01,940493.9194,1345000.215,834637.147,19.9576745565338,20.048569559894,-0.0908950033602096,0.814719544342823,0.555135438650931,"stable",0.301150344926944
"LPE O-24:1","Com_13238_neg","LPE O-24:1","C29 H60 N O6 P",549.41659,10.278,548.40932,"No results","Full match","No results",NA,NA,NA,NA,428968.8914,1769294.659,1689193.159,890703.7634,716571.026299999,267237.085,19.081032350451,20.0510530952245,-0.970020744773525,0.465692442961106,0.433415389191838,"stable",0.817703638347265
"LPE 22:1","Com_13348_neg","LPE 22:1","C27 H54 N O7 P",535.36412,11.17,534.35684,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",649749.9244,499048.6051,402820.6048,171283.1957,166934.796,524400.1511,17.9117526149867,18.9527079331861,-1.04095531819943,0.283983388815941,0.361968999922024,"stable",1.10947902773198
"3-[4-methyl-1-(2-methylpropanoyl)-3-oxocyclohexyl]butanoic acid","Com_13424_neg","3-[4-methyl-1-(2-methylpropanoyl)-3-oxocyclohexyl]butanoic acid","C15 H24 O4",268.16749,6.739,267.16022,"Full match","No results","No results",NA,NA,NA,NA,1757456.414,11375733.74,11771978.56,7423263.56299999,8490602.32799999,11086264.09,23.0811091928706,22.5577890768044,0.523320116066138,0.572996882383268,0.468375235044327,"stable",0.45329914464086
"ADBICA N-pentanoic acid metabolite","Com_13479_neg","ADBICA N-pentanoic acid metabolite","C20 H27 N3 O4",409.17605,7.955,408.16878,"Invalid mass","No results","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids and derivatives",221370.3593,168019.1585,231194.4514,1225885.219,128817.233,1069194.288,19.0761503869488,17.6443720024394,1.43177838450944,0.256508007943454,0.353337060989685,"stable",0.928351667993792
"LPA 20:5","Com_13597_neg","LPA 20:5","C23 H37 O7 P",456.22779,8.9,455.22051,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",2386127.418,1973358.631,1894717.213,543431.6784,1094429.894,1230450.474,19.7814141377216,20.9840041680516,-1.20259003032999,0.125034006337798,0.287751256783255,"stable",1.40175361645335
"Ofloxacin impurity E","Com_13605_neg","Ofloxacin impurity E","C17 H18 F N3 O4",393.13129,4.688,392.12402,"Invalid mass","No results","No results","Organoheterocyclic compounds","Quinolines and derivatives","Quinoline carboxylic acids","Quinoline carboxylic acids",2788335.413,3011247.348,3664447.032,4111815.856,3558679.323,3891067.766,21.8753298020023,21.579355517457,0.295974284545327,0.167926766910262,0.312682306890885,"stable",1.23883961036725
"dTMP","Com_13642_neg","dTMP","C10 H15 N2 O8 P",322.05665,4.68,321.04938,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",2318283.506,2282070.178,3052323.877,4477693.314,2279431.745,3320316.672,21.6258188267656,21.2693379748017,0.356480851963887,0.355103572647149,0.389145862989033,"stable",0.821851662833026
"PE 16:0_18:1;O","Com_13677_neg","PE 16:0_18:1;O","C39 H76 N O9 P",733.52498,10.592,732.5177,"No results","Full match","No results",NA,NA,NA,NA,1887512.433,1380065.612,310011.5238,171376.7692,721382.8481,575174.6804,18.6602860910363,19.8287741544511,-1.1684880634148,0.452228416665768,0.428752449560077,"stable",0.819443069640196
"LPE O-19:1","Com_13696_neg","LPE O-19:1","C24 H50 N O6 P",479.33742,10.842,478.33014,"No results","Full match","No results",NA,NA,NA,NA,1588031.463,1329408.511,931092.015999999,468507.6525,479393.4584,1333044.884,19.3516192369493,20.2565751183747,-0.904955881425369,0.333751366668733,0.378861542809117,"stable",1.05911687678441
"8-iso Prostaglandin A2","Com_13743_neg","8-iso Prostaglandin A2","C20 H30 O4",316.20369,7.291,315.19642,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",446694.0288,1189901.63,280960.995,535244.204400001,1623118.428,520001.6094,19.5494437144312,19.0171162189065,0.532327495524719,0.103405355500481,0.274214934136764,"stable",0.513932930784059
"dCDP","Com_13824_neg","dCDP","C9 H15 N3 O10 P2",387.02387,1.789,386.01659,"No results","No results","Full match","Organic oxygen compounds","Organic oxoanionic compounds","Organic pyrophosphates","Organic pyrophosphates",1432801.875,498337.1611,853941.051200001,502533.7033,556509.9532,577185.2019,19.0545278606935,19.6936490968671,-0.639121236173562,0.317333759834014,0.370858325205637,"stable",0.970317008878984
"LPC 17:1","Com_13835_neg","LPC 17:1","C25 H50 N O7 P",553.33816,9.326,552.33088,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",1178630.04,791788.807600001,689075.485499999,487177.681400001,646359.918099999,1548023.275,19.5860208200025,19.7192460558518,-0.133225235849356,0.868383991769872,0.570828523749106,"stable",0.198611836529687
"LPE 17:0","Com_14072_neg","LPE 17:0","C22 H46 N O7 P",467.30125,9.74,466.29397,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",959727.3009,935398.2974,565294.5574,397948.1298,190271.6589,1149020.575,18.7572984111561,19.6053765221463,-0.848078110990251,0.478662886573158,0.437748359145226,"stable",0.7832449508881
"Sorbitan monooleate","Com_14239_neg","Sorbitan monooleate","C24 H44 O6",428.31383,9.007,427.30655,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Fatty acid esters",182332.7948,176521.114,163905.1387,147939.5248,165415.7661,164269.3778,17.2786964277575,17.4093991125519,-0.130702684794347,0.283181465301189,0.361735366232047,"stable",1.14057408162184
"8Z,11Z,14Z-Eicosatrienoic acid","Com_14297_neg","8Z,11Z,14Z-Eicosatrienoic acid","C20 H34 O2",306.25584,9.407,305.24857,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",264914.2619,368653.8136,221814.5398,134736.168,530688.9971,278450.9582,18.0481161638396,18.0886891851595,-0.0405730213199753,0.939184555599684,0.589914105614952,"stable",0.0551774419471185
"Glycocholic acid","Com_14310_neg","Glycocholic acid","C26 H43 N O6",465.30998,9.987,464.3027,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Glycinated bile acids and derivatives",772257.412,1004705.677,545774.3688,113636.665,126292.0791,128630.3959,16.9044485253361,19.518336302503,-2.61388777716698,0.0106885152326394,0.18752583336894,"down",1.62867906530983
"SM 8:1;2O/23:0","Com_14370_neg","SM 8:1;2O/23:0","C36 H73 N2 O6 P",706.52684,10.746,705.51956,"No results","Invalid mass","No results",NA,NA,NA,NA,863839.9197,670639.046600001,590386.1733,569593.91,384964.1941,436177.2876,18.802831352955,19.4156269429678,-0.612795590012773,0.0282640979269347,0.22288655194422,"down",1.32406923452203
"PC 18:1_20:3","Com_14468_neg","PC 18:1_20:3","C46 H84 N O8 P",855.60017,8.478,854.59289,"No results","Invalid mass","No results",NA,NA,NA,NA,7029349.525,6043334.82199999,6372960.62400001,3231732.292,1797932.272,2213026.224,21.159790874874,22.6251351741085,-1.46534429923443,0.015368013862193,0.199419385072854,"down",1.56804705626178
"4-Hydroxy-2-Oxoglutaric Acid","Com_14602_neg","4-Hydroxy-2-Oxoglutaric Acid","C5 H6 O6",162.01616,2.326,161.00889,"No results","No results","Full match","Organic acids and derivatives","Keto acids and derivatives","Gamma-keto acids and derivatives","Gamma-keto acids and derivatives",885471.159300001,927907.418000001,1064548.309,1174145.058,1246150.853,1053273.025,20.1395581806129,19.8671723746565,0.272385805956418,0.199036506021108,0.329860407193529,"stable",1.3069993714593
"PE O-16:1_20:5","Com_14664_neg","PE O-16:1_20:5","C41 H72 N O7 P",721.50233,11.141,720.49506,"No results","Full match","No results",NA,NA,NA,NA,19031009.8,17127640.55,24382518.18,15758784.84,19804554.56,13305975.14,23.9381842605662,24.2503385544002,-0.31215429383402,0.42412521285567,0.418435067316807,"stable",0.947769683834344
"Riboflavin-5-phosphate","Com_14753_neg","Riboflavin-5-phosphate","C17 H21 N4 O9 P",456.10532,5.652,455.09804,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Flavin nucleotides","Not available","Flavin nucleotides",1612196.04,2119365.63,2390966.02,2288393.478,1787330.161,2046822.624,20.9534110295606,20.9416530064265,0.011758023134032,0.966338521240497,0.596791139588261,"stable",0.0494726339777293
"20-Hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoic acid","Com_14856_neg","20-Hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoic acid","C20 H32 O3",320.23504,8.586,319.22775,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",2050748.739,1377090.129,1785406.687,1491703.53,1781799.707,1555321.069,20.6140713815356,20.7095773897094,-0.0955060081738459,0.734651735340236,0.529464536990047,"stable",0.414414273010153
"Tanespimycin","Com_14886_neg","Tanespimycin","C31 H43 N3 O8",567.28541,7.289,566.27813,"Invalid mass","No results","No results","Phenylpropanoids and polyketides","Macrolactams","Not available","Macrolactams",1253524.555,1095052.811,1267886.175,1104538.4,680821.9898,1371525.877,19.946426888779,20.1980405486672,-0.251613659888218,0.393476112057381,0.406183639248452,"stable",0.630986181676767
"Docosanoic Acid","Com_15140_neg","Docosanoic Acid","C22 H44 O2",340.334,11.214,339.32672,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",1089036.899,1443035.651,1133251.567,1211086.307,862488.096,772419.8433,19.8283469905057,20.2091112145147,-0.380764224009024,0.29723012375388,0.365686070567522,"stable",1.05128783131445
"2-(1H-indol-3-yl)-3-[4-(trifluoromethyl)phenyl]acrylonitrile","Com_15182_neg","2-(1H-indol-3-yl)-3-[4-(trifluoromethyl)phenyl]acrylonitrile","C18 H11 F3 N2",312.08986,6.742,311.08258,"Invalid mass","No results","No results",NA,NA,NA,NA,215297.8481,196491.4347,201033.3093,170015.3159,188458.6192,182462.5154,17.4588113436436,17.6390521033986,-0.180240759754991,0.163359807243552,0.309840132798421,"stable",1.38872662137417
"Vitamin B2","Com_15202_neg","Vitamin B2","C17 H20 N4 O6",376.13882,5.688,375.13165,"No results","No results","Full match","Organoheterocyclic compounds","Pteridines and derivatives","Alloxazines and isoalloxazines","Flavins",335445.3196,402237.2789,399004.5981,507212.7483,281634.0741,500570.2421,18.6629689500995,18.5264837349221,0.13648521517743,0.722801238491462,0.525411231064087,"stable",0.377273010973867
"LPC 20:5","Com_15219_neg","LPC 20:5","C28 H48 N O7 P",587.32252,8.671,586.31525,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",732942.2651,389569.7167,493161.1927,147171.066,353076.5014,701583.8161,18.3390039210113,18.9888539312538,-0.649850010242499,0.526198229211253,0.453127901298411,"stable",0.695839871393854
"5 methyl THF","Com_15267_neg","5 methyl THF","C20 H25 N7 O6",459.18721,4.92,458.17993,"No results","No results","Full match","Hydrocarbons","Unsaturated hydrocarbons","Branched unsaturated hydrocarbons","Branched unsaturated hydrocarbons",108420.7321,114571.5807,106671.7302,108704.751,110451.24,101094.3951,16.7028163491604,16.7449963985575,-0.042180049397178,0.221580681820252,0.340122433656642,"stable",0.643565017939735
"Isoproterenol","Com_15334_neg","Isoproterenol","C11 H17 N O3",211.12098,5.786,210.11375,"No results","No results","Full match","Benzenoids","Phenols","Benzenediols","Catechols",426014.2335,347418.7905,371957.3183,319695.6413,330543.3048,341298.9431,18.3338319126146,18.5372119750568,-0.203380062442118,0.196331979803493,0.328518398801638,"stable",1.23970580690849
"Glutathione (oxidized)","Com_15376_neg","Glutathione (oxidized)","C20 H32 N6 O12 S2",612.153,4.844,611.14573,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",533240.5138,496594.8709,578909.0577,407678.1611,269231.7444,352739.4199,18.367934477991,19.0297046363306,-0.661770158339685,0.0451379626286666,0.24575193176775,"down",1.44647121518478
"4-morpholino-3-nitrobenzene-1-sulfonamide","Com_15379_neg","4-morpholino-3-nitrobenzene-1-sulfonamide","C10 H13 N3 O5 S",287.05745,4.918,286.05017,"Full match","No results","No results",NA,NA,NA,NA,2680420.855,2922578.208,3217681.213,3032407.85,2818024.003,3132473.301,21.5123852086612,21.4834760923651,0.028909116296056,0.735902641245486,0.529888356571638,"stable",0.267722301777232
"PC 17:1_18:2","Com_15409_neg","PC 17:1_18:2","C43 H80 N O8 P",815.56691,11.516,814.55964,"No results","Invalid mass","No results",NA,NA,NA,NA,2332941.45,2316090.428,1814050.969,718569.588400001,1112533.588,880204.778200001,19.7625551641406,21.0292541273246,-1.26669896318401,0.0279091392357762,0.222183234278289,"down",1.57057782691654
"Glutathione","Com_15428_neg","Glutathione","C10 H17 N3 O6 S",307.08378,7.464,306.07651,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",2063682.376,2892253.266,1819179.827,565771.2547,603027.3877,569238.1132,19.1434653631312,21.0784695667993,-1.93500420366809,0.007851284641162,0.181861341076753,"down",1.62583497123725
"N1-(4-cyclohexylphenyl)-2-[(4-methylphenyl)thio]acetamide","Com_15432_neg","N1-(4-cyclohexylphenyl)-2-[(4-methylphenyl)thio]acetamide","C21 H25 N O S",375.14619,7.514,374.13892,"Invalid mass","No results","No results",NA,NA,NA,NA,353439.3889,258046.1941,158333.8808,101873.6428,197940.1624,232629.8775,17.3529343431042,17.8936612021277,-0.540726859023501,0.511471482661757,0.448064869713102,"stable",0.794326595011829
"Pyridoxamine","Com_15500_neg","Pyridoxamine","C8 H12 N2 O2",168.08984,5.218,213.08798,"No results","No results","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridoxamines","Pyridoxamine 5'-phosphates",790728.519300001,473083.0771,531449.83,2235110.115,1295339.121,1385501.687,20.5995966435758,19.1547103139408,1.44488632963498,0.000551259628768812,0.0787529273657308,"up",1.50733118329267
"Flavin adenine dinucleotide","Com_15629_neg","Flavin adenine dinucleotide","C27 H33 N9 O15 P2",785.1583,5.874,784.15102,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Flavin nucleotides","Not available","Flavin nucleotides",392007.2233,476874.0817,502755.2119,452017.8341,429933.5356,367325.3164,18.662157698897,18.7944220559997,-0.132264357102748,0.55879558943484,0.46391454511739,"stable",0.702738456379579
"LPE 15:0","Com_15661_neg","LPE 15:0","C20 H42 N O7 P",439.27002,9.057,438.26274,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",555000.9515,519184.181600001,366421.0872,284475.3413,155116.0736,629632.6487,18.208361189596,18.8503868760069,-0.642025686410836,0.48023475746327,0.438263260527322,"stable",0.76952721873264
"LysoPE 18:2","Com_15785_neg","LysoPE 18:2","C23 H44 N O7 P",477.28629,8.42,476.27902,"No results","No results","Full match",NA,NA,NA,NA,290113.2491,460544.8305,386050.2389,222139.4671,390596.9202,292501.0153,18.1648364553816,18.5058892701942,-0.34105281481262,0.0223676607666528,0.210500423746576,"down",0.810611417910036
"20-Carboxy-Leukotriene B4","Com_16472_neg","20-Carboxy-Leukotriene B4","C20 H30 O6",366.20387,6.966,347.18582,"No results","No results","Full match",NA,NA,NA,NA,239872.157,335460.1334,144644.2248,258767.8454,633310.8925,289864.4395,18.4662906765403,17.7899457257794,0.676344950760896,0.140621934023128,0.295703856681601,"stable",0.884148136823214
"LPS 20:0","Com_16514_neg","LPS 20:0","C26 H52 N O9 P",553.3386,11.497,552.33132,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",932398.082799999,755431.486000001,679107.4308,184753.2597,270267.5904,1045058.522,18.5114738632534,19.5769360651746,-1.06546220192119,0.349149019066239,0.386312090388662,"stable",0.944636590150445
"Mag (18:1)","Com_16562_neg","Mag (18:1)","C21 H40 O4",356.29278,10.122,401.29099,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Lineolic acids and derivatives",311030.1603,229189.3538,105819.9441,89938.7596000001,97845.9319900001,168358.5258,16.7986856246143,17.581375832734,-0.782690208119686,0.403257397235734,0.410215079177781,"stable",0.97134966349053
"Lysopc 16:1","Com_16612_neg","Lysopc 16:1","C24 H48 N O7 P",493.31705,10.052,492.30977,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",662549.077299999,606486.983500001,429937.5522,153278.5528,187873.2627,311596.4192,17.6648385619461,19.0871841851014,-1.42234562315525,0.102475892009742,0.273893039949151,"stable",1.4827243668103
"PA 16:0_18:1","Com_16681_neg","PA 16:0_18:1","C37 H71 O8 P",674.48689,8.568,673.47961,"No results","Full match","No results",NA,NA,NA,NA,529363.7814,638070.6458,428071.0591,403355.8924,442798.8393,658791.3633,18.9024826123037,19.0015824600159,-0.0990998477121501,0.810271793196392,0.553783125448113,"stable",0.296152224813432
"PE 14:0_16:0","Com_16759_neg","PE 14:0_16:0","C35 H70 N O8 P",617.47881,10.713,616.47154,"No results","Invalid mass","No results",NA,NA,NA,NA,463526.0713,526264.9422,579776.319800001,2352569.204,2717404.929,2231906.076,21.2098162496001,18.9909525367998,2.21886371280026,0.00380519630486296,0.162231527144593,"up",1.65017817217894
"N-Acetyl-D-tryptophan","Com_16762_neg","N-Acetyl-D-tryptophan","C13 H14 N2 O3",246.10101,5.314,245.09373,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",307859.5,318774.6201,330176.1525,309121.2922,343373.4049,334396.2104,18.3261437515993,18.2823220684613,0.0438216831380629,0.303372153643139,0.367323257109233,"stable",0.623916601235105
"D-Fructose 1,6-bisphosphate","Com_16766_neg","D-Fructose 1,6-bisphosphate","C6 H14 O12 P2",339.99763,5.641,338.99036,"No results","No results","Full match",NA,NA,NA,NA,270355.1865,247584.0154,937810.636099999,237322.3807,262619.7692,257114.7907,17.9437192367212,18.6003307572854,-0.656611520564141,0.394499053956269,0.406610827139558,"stable",0.775277802480597
"PC 16:1_22:6","Com_16786_neg","PC 16:1_22:6","C46 H78 N O8 P",849.55851,9.278,848.55124,"No results","Invalid mass","No results",NA,NA,NA,NA,431366.3033,479617.3522,362243.2108,101238.4046,272379.4874,241882.3552,17.5222005640505,18.6855591375238,-1.16335857347336,0.131169405947074,0.2910541991894,"stable",1.29688425902931
"D-Xylonic Acid","Com_16789_neg","D-Xylonic Acid","C5 H10 O6",166.04774,5.53,165.04065,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",501463.8144,581758.2062,569309.9178,572961.5387,716759.1681,880381.980800001,19.4423259306127,19.0682336373682,0.374092293244512,0.104171579725245,0.274476531496095,"stable",1.16198494838905
"PE 18:0_20:4","Com_16848_neg","PE 18:0_20:4","C43 H78 N O8 P",767.54426,9.097,766.53699,"No results","Full match","No results",NA,NA,NA,NA,147135.7172,399582.269,223629.7437,294708.2916,243892.8342,234753.7561,17.9685348956452,17.8485578595962,0.119977036048976,0.831251484691577,0.560090826662211,"stable",0.229459563280783
"Oleoyl-L-alpha-lysophosphatidic acid","Com_16909_neg","Oleoyl-L-alpha-lysophosphatidic acid","C21 H40 Na O7 P",458.24296,9.289,457.23568,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1-acylglycerol-3-phosphates",1168170.092,947091.230100001,629033.8591,192748.5239,428534.697000001,731873.813100001,18.5822160600805,19.7572469832471,-1.17503092316656,0.285509707582745,0.362410877497556,"stable",1.14462099951643
"geranyl pp","Com_17050_neg","geranyl pp","C10 H20 O7 P2",314.06739,5.233,295.04944,"No results","No results","Full match","Lipids and lipid-like molecules","Prenol lipids","Isoprenoid phosphates","Isoprenoid phosphates",143749.7657,138536.4458,147724.8195,157778.8106,127742.1162,146391.7967,17.1299646194485,17.1285529435385,0.00141167591005242,0.986313450590616,0.601704557038145,"stable",0.012586822175804
"LPC 20:2","Com_17094_neg","LPC 20:2","C28 H54 N O7 P",593.36978,10.009,592.3625,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",564966.8346,498789.7822,209719.8965,195382.3537,521571.3262,544152.732899999,18.5406992665527,18.5713277509941,-0.0306284844414151,0.974245395375267,0.598750491358375,"stable",0.0385461940164812
"PC 14:0_14:0","Com_17134_neg","PC 14:0_14:0","C36 H72 N O8 P",723.50421,9.127,722.49693,"No results","Invalid mass","No results",NA,NA,NA,NA,166129.7426,178959.4177,155843.5712,132028.5249,146176.2837,149825.6243,17.1202549095536,17.346987639592,-0.2267327300384,0.118141309708905,0.283735039656752,"stable",1.35550921670083
"Uridine 5'-Diphospho-N-Acetylgalactosamine","Com_17159_neg","Uridine 5'-Diphospho-N-Acetylgalactosamine","C17 H27 N3 O17 P2",607.08142,6.914,606.07414,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",299540.5054,317754.6387,365002.3282,673586.214000001,438260.2995,398504.1243,18.9023888954575,18.3158304602949,0.586558435162612,0.196332315869156,0.328518567169367,"stable",1.26861037524096
"GTP","Com_17259_neg","GTP","C10 H16 N5 O14 P3",522.99058,11.921,521.98331,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside triphosphates",2001181.577,1158370.638,1689024.764,1885246.652,1819393.769,2117485.299,20.8850895887941,20.5879484012172,0.297141187576965,0.29837349155277,0.365994825706202,"stable",0.868189208743896
"LPC 22:6","Com_17302_neg","LPC 22:6","C30 H50 N O7 P",613.33805,9.073,612.33077,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",551056.1511,553738.7858,447990.3468,136324.1595,377678.5219,865217.619900001,18.4353948238173,18.9745979929275,-0.53920316911017,0.593072529851124,0.475997214746415,"stable",0.544099708260785
"2-Methylbutyl beta-D-glucopyranoside","Com_17392_neg","2-Methylbutyl beta-D-glucopyranoside","C11 H22 O6",296.14467,7.828,295.13739,"Invalid mass","No results","No results",NA,NA,NA,NA,445156.000499999,3982472.998,374690.8676,297156.9539,263045.872,313348.4936,18.1477430110685,19.7348419720353,-1.58709896096687,0.307884504198216,0.368493336375781,"stable",0.971630038210441
"All-cis-4,7,10,13,16-docosapentaenoic acid","Com_17485_neg","All-cis-4,7,10,13,16-docosapentaenoic acid","C22 H34 O2",330.25592,7.871,329.24864,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",117233.7714,107189.449,114952.4549,92078.00284,96106.5602099999,109204.2998,16.5931954499199,16.7865032761481,-0.193307826228228,0.140341024182596,0.295572703658792,"stable",1.25564204888354
"6-phospho-D-glucono-1,5-lactone","Com_17718_neg","6-phospho-D-glucono-1,5-lactone","C6 H11 O9 P",258.01359,4.994,257.00632,"No results","No results","Full match",NA,NA,NA,NA,414867.2452,1157509.768,446287.2632,308216.1679,400704.4983,442798.6587,18.5340178410692,19.1908320923789,-0.656814251309722,0.284220472812475,0.362037877404563,"stable",0.909636622635175
"LPI 16:1","Com_17789_neg","LPI 16:1","C25 H47 O12 P",570.28016,9.253,569.27289,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",1388842.221,1278862.32,1219750.812,1427163.418,535111.060099999,2161418.358,20.1725816150026,20.3033452726646,-0.130763657661987,0.849432765460499,0.56541467356188,"stable",0.18002668723356
"Tauroursodeoxycholic acid","Com_18001_neg","Tauroursodeoxycholic acid","C26 H45 N O6 S",499.29758,7.755,498.2903,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Taurinated bile acids and derivatives",308787.987,324333.4841,348644.5414,659838.9671,178629.9514,309628.7843,18.3395163335421,18.3182576399291,0.0212586936130421,0.97376533929243,0.598632074874523,"stable",0.0321604965416377
"Gentisic acid","Com_18078_neg","Gentisic acid","C7 H6 O4",154.02691,5.031,153.01964,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",127517.2638,180114.4759,121191.261,149212.2108,184268.7632,193726.8779,17.4140408951398,17.1019379362034,0.312102958936467,0.243363857524159,0.348695026213988,"stable",0.980179593504669
"5-Methyl-dl-tryptophan","Com_18106_neg","5-Methyl-dl-tryptophan","C12 H14 N2 O2",218.10578,5.255,253.07527,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",139529.9708,134976.4849,143928.7456,153724.38,239747.4994,147084.7743,17.4224770302918,17.0891864375753,0.333290592716473,0.313659398469915,0.369952052938255,"stable",0.983752245369441
"Alanyltyrosine","Com_18154_neg","Alanyltyrosine","C12 H16 N2 O4",252.11122,4.756,251.10395,"Full match","No results","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",532169.249199999,537474.0614,696978.758999999,781033.700200001,645410.5737,809395.6283,19.5004561643432,19.1560387975556,0.344417366787649,0.0823517525344825,0.266441325364945,"stable",1.20674099062649
"Erucic acid","Com_18371_neg","Erucic acid","C22 H42 O2",338.31868,9.635,337.3114,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",1032114.197,1388104.616,1198059.362,1484099.647,540808.4586,659916.7732,19.6259464280929,20.1913746694249,-0.565428241332036,0.421317841546068,0.41735819583695,"stable",0.866657872618911
"L-(-)-alpha-Amino-epsilon-Caprolactam","Com_18477_neg","L-(-)-alpha-Amino-epsilon-Caprolactam","C6 H12 N2 O",128.09498,6.238,127.08771,"No results","No results","Full match","Organoheterocyclic compounds","Azepines","Not available","Azepines",209568.247,190252.5932,247706.1929,474443.1294,219027.5957,245961.3667,18.1682336551082,17.7109625403452,0.457271114763071,0.337913200436931,0.380817953401984,"stable",0.882398855637537
