"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","OCI_M2_WT_1","OCI_M2_WT_2","OCI_M2_WT_3","OCI_M2_2w_1","OCI_M2_2w_2","OCI_M2_2w_3","OCI_M2_6w_1","OCI_M2_6w_2","OCI_M2_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"D-Fructose 1,6-bisphosphate","Com_16766_neg","D-Fructose 1,6-bisphosphate","C6 H14 O12 P2",339.99763,5.641,338.99036,"No results","No results","Full match",NA,NA,NA,NA,275282.0766,256722.3747,267180.2206,270829.2882,245043.0065,413577.7058,302518.0917,1429494.805,204324.5732,18.4836229364007,18.0226181173916,0.461004819009105,0.319225086141025,0.384164826429296,"stable",0.594154389662246
"PC 16:1_22:6","Com_16786_neg","PC 16:1_22:6","C46 H78 N O8 P",849.55851,9.278,848.55124,"No results","Invalid mass","No results",NA,NA,NA,NA,401187.9464,339446.3712,201035.4661,362445.4398,232290.6493,335820.8771,358048.7623,252394.459,316126.6772,18.2192614650972,18.2012777956471,0.0179836694500466,0.959269394874107,0.607193076752123,"stable",0.0577200163294521
"D-Xylonic Acid","Com_16789_neg","D-Xylonic Acid","C5 H10 O6",166.04774,5.53,165.04065,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",712973.8191,897566.194900001,668816.4256,311380.6001,739179.505,829186.881700001,2361944.642,522956.092699999,666812.511999999,19.4866697005634,19.5234663813722,-0.0367966808087985,0.932216405326596,0.600349520755202,"stable",0.0515543708769553
"PE 18:0_20:4","Com_16848_neg","PE 18:0_20:4","C43 H78 N O8 P",767.54426,9.097,766.53699,"No results","Full match","No results",NA,NA,NA,NA,400373.406,596840.3793,214170.532,301411.6811,311237.128,504240.9271,163285.0909,145556.8353,257696.8857,17.9727260547403,18.5021242361989,-0.529398181458692,0.361076353074021,0.401606310019988,"stable",0.825507975426744
"Oleoyl-L-alpha-lysophosphatidic acid","Com_16909_neg","Oleoyl-L-alpha-lysophosphatidic acid","C21 H40 Na O7 P",458.24296,9.289,457.23568,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1-acylglycerol-3-phosphates",631313.7864,440750.5002,645796.8645,557357.7671,338054.6828,455872.8417,594408.9835,430522.8578,401989.9232,18.794506620915,19.106107107658,-0.311600486743046,0.224291800693541,0.332658847930087,"stable",1.038735191534
"geranyl pp","Com_17050_neg","geranyl pp","C10 H20 O7 P2",314.06739,5.233,295.04944,"No results","No results","Full match","Lipids and lipid-like molecules","Prenol lipids","Isoprenoid phosphates","Isoprenoid phosphates",169394.3415,177807.9519,169070.2086,555819.227800001,389813.4946,172225.3865,624005.8188,145695.5567,177347.4504,18.1484392320809,17.3924164736488,0.75602275843206,0.103620710913991,0.242733330146042,"stable",0.987168168364164
"LPC 20:2","Com_17094_neg","LPC 20:2","C28 H54 N O7 P",593.36978,10.009,592.3625,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",369950.3851,490902.7531,269482.8052,753541.2241,552288.3019,547468.2288,327352.3409,615668.9791,454012.8453,19.0009097317214,18.4806279013064,0.52028183041508,0.160886020145952,0.291252101058639,"stable",1.20009941756831
"PC 14:0_14:0","Com_17134_neg","PC 14:0_14:0","C36 H72 N O8 P",723.50421,9.127,722.49693,"No results","Invalid mass","No results",NA,NA,NA,NA,138560.8216,133130.1003,135290.6277,129922.3005,107192.3142,139147.5757,135194.1182,180396.1135,109736.8027,17.0054262101687,17.0494465032058,-0.0440202930370361,0.711178552400835,0.534017418210594,"stable",0.219208836065843
"Uridine 5'-Diphospho-N-Acetylgalactosamine","Com_17159_neg","Uridine 5'-Diphospho-N-Acetylgalactosamine","C17 H27 N3 O17 P2",607.08142,6.914,606.07414,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",435408.6061,191585.1753,533723.8203,436644.6033,479188.1785,423435.6596,401660.3944,462604.8825,554634.2158,18.8023884615158,18.4351235594907,0.367264902025184,0.502589951576027,0.455484827481299,"stable",0.880203419287723
"GTP","Com_17259_neg","GTP","C10 H16 N5 O14 P3",522.99058,11.921,521.98331,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside triphosphates",1661097.451,1967623.254,1872081.778,1742630.007,1893403.835,2086890.563,2040135.079,1707430.999,2406198.487,20.9067104021812,20.8026466299191,0.104063772262148,0.358383445019735,0.400563993259547,"stable",0.673928470319914
"LPC 22:6","Com_17302_neg","LPC 22:6","C30 H50 N O7 P",613.33805,9.073,612.33077,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",143123.6119,457129.3069,217116.4343,678548.805400001,379978.5546,354970.4103,284086.9944,404673.2691,558488.109600001,18.6964215176254,17.8857514571054,0.810670060519971,0.233284589819262,0.33792219991508,"stable",1.27152401038823
"2-Methylbutyl beta-D-glucopyranoside","Com_17392_neg","2-Methylbutyl beta-D-glucopyranoside","C11 H22 O6",296.14467,7.828,295.13739,"Invalid mass","No results","No results",NA,NA,NA,NA,948172.291500001,862977.6477,816594.889,1432797.085,501177.7185,1553354.398,3009404.435,10489446.08,1349811.99,20.8600216651525,19.7376714623395,1.12235020281303,0.119397993432954,0.258734704333946,"stable",0.943059841890962
"All-cis-4,7,10,13,16-docosapentaenoic acid","Com_17485_neg","All-cis-4,7,10,13,16-docosapentaenoic acid","C22 H34 O2",330.25592,7.871,329.24864,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",902833.8656,507257.8398,716639.909300001,466952.0546,316373.4303,745630.810700001,323975.5846,438781.621,459536.4171,18.7451290964759,19.3957832016397,-0.650654105163785,0.0925693811467397,0.230499271578884,"stable",1.33891733867981
"6-phospho-D-glucono-1,5-lactone","Com_17718_neg","6-phospho-D-glucono-1,5-lactone","C6 H11 O9 P",258.01359,4.994,257.00632,"No results","No results","Full match",NA,NA,NA,NA,312630.7254,491799.9036,814324.229300001,401722.4734,810724.3393,354595.046,433620.829,476995.4483,582502.713100001,18.903683363669,18.9323519259331,-0.0286685622640448,0.9519459064002,0.605363708042,"stable",0.0639695026202301
"LPI 16:1","Com_17789_neg","LPI 16:1","C25 H47 O12 P",570.28016,9.253,569.27289,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",975549.7601,1032443.237,962664.0686,735218.880299999,431161.9552,614075.154300001,461065.2227,566401.691999999,623550.4038,19.1016607309576,19.9167199630262,-0.815059232068549,0.000696349577073395,0.0305544361518824,"down",1.88367114443882
"Tauroursodeoxycholic acid","Com_18001_neg","Tauroursodeoxycholic acid","C26 H45 N O6 S",499.29758,7.755,498.2903,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Taurinated bile acids and derivatives",211441.1157,251828.8075,177874.9465,162143.5482,264168.7259,199389.9943,215350.1669,209678.8122,254516.1614,17.7124649928783,17.6908280052745,0.0216369876038129,0.909118508822757,0.594314915050418,"stable",0.0983111540803484
"Gentisic acid","Com_18078_neg","Gentisic acid","C7 H6 O4",154.02691,5.031,153.01964,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",183360.5213,590718.4055,169000.8511,113594.5481,225080.4848,540228.0743,146855.4351,94655.3983700001,148201.6828,17.414743535934,18.00770185003,-0.592958314095998,0.442397728164553,0.434823789634137,"stable",0.694610838562702
"5-Methyl-dl-tryptophan","Com_18106_neg","5-Methyl-dl-tryptophan","C12 H14 N2 O2",218.10578,5.255,253.07527,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",444123.9098,347653.2675,435312.128499999,1484898.646,1029358.882,720940.696,3242076.144,393138.5961,391128.2795,19.7875360121296,18.6331943436866,1.15434166844306,0.0619675990918402,0.200686328889281,"stable",1.13385156959866
"Alanyltyrosine","Com_18154_neg","Alanyltyrosine","C12 H16 N2 O4",252.11122,4.756,251.10395,"Full match","No results","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",990690.477000001,1107539.897,1027761.14,779996.5717,812133.3317,784840.483299999,836888.480299999,866684.3112,936589.0336,19.6705641357026,19.9893585589744,-0.3187944232718,0.00382483274987059,0.0641889598308453,"down",1.88945107375377
"Erucic acid","Com_18371_neg","Erucic acid","C22 H42 O2",338.31868,9.635,337.3114,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",1380449.543,480233.4303,624808.7828,469429.0664,681773.695,611251.535,742089.479599999,505756.3623,858222.948500001,19.2668662229218,19.5077127483459,-0.240846525424072,0.657186069196257,0.514327042815641,"stable",0.531088490193333
"L-(-)-alpha-Amino-epsilon-Caprolactam","Com_18477_neg","L-(-)-alpha-Amino-epsilon-Caprolactam","C6 H12 N2 O",128.09498,6.238,127.08771,"No results","No results","Full match","Organoheterocyclic compounds","Azepines","Not available","Azepines",187905.5486,218925.0775,227059.3814,172871.7749,169970.886,193160.9067,177929.0889,183721.549,203966.955,17.4832991092388,17.6841453198601,-0.200846210621325,0.119805255507927,0.259116063922222,"stable",1.47695648223319
"2-Phosphoglyceric acid","Com_18485_neg","2-Phosphoglyceric acid","C3 H7 O7 P",185.99295,2.754,184.98567,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",470110.2905,401685.745,393988.1369,321245.246,456787.7185,370905.1234,328266.7134,107372.8089,170983.161,18.0025739029688,18.6820467128329,-0.679472809864183,0.0904998094464514,0.228658494833553,"stable",1.0282399455312
"PC 17:0_18:1","Com_18593_neg","PC 17:0_18:1","C43 H84 N O8 P",819.5959,11.718,818.58862,"No results","Invalid mass","No results",NA,NA,NA,NA,103522.7113,54456.96527,331310.3889,76681.6511500001,34552.68336,43772.89172,98492.25763,30351.87743,55922.84372,15.6615374885515,16.9100802220664,-1.24854273351487,0.237071075344863,0.340065597582032,"stable",1.28785126988567
"3-(2,4-difluoroanilino)-2-(2-thienylsulfonyl)acrylonitrile","Com_18716_neg","3-(2,4-difluoroanilino)-2-(2-thienylsulfonyl)acrylonitrile","C13 H8 F2 N2 O2 S2",325.99879,8.53,324.99152,"Full match","No results","No results",NA,NA,NA,NA,66872.39088,63514.21576,68914.92078,64582.33671,52588.00205,66546.62516,71679.07406,64993.82885,51946.04107,15.9108969420542,16.0188145814897,-0.10791763943547,0.249760532848326,0.347908952886497,"stable",0.713845316438074
"LNAPE 16:1/N-18:0","Com_18743_neg","LNAPE 16:1/N-18:0","C39 H76 N O8 P",1435.06265,7.05,716.52405,"No results","Invalid mass","No results",NA,NA,NA,NA,1053598.019,1720178.642,1164516.021,1163916.24,997419.552400001,1345346.742,1180730.033,2385825.363,942697.882200001,20.2736140123079,20.2907730438896,-0.0171590315816808,0.955356656220844,0.606217810643607,"stable",0.0436202839845413
"Gly-Tyr-Ala","Com_18746_neg","Gly-Tyr-Ala","C14 H19 N3 O5",309.13215,4.764,308.12488,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Oligopeptides",643426.3404,643047.087899999,632132.158199999,414095.8043,560793.4168,468350.007100001,756586.8841,747735.544,577804.6238,19.1292465936233,19.2866156720081,-0.157369078384832,0.321710259478105,0.385279997695763,"stable",0.5908812687918
"Phosphopyruvic acid","Com_18793_neg","Phosphopyruvic acid","C3 H5 O6 P",167.98223,2.614,166.97495,"No results","No results","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Phosphate esters",318879.9384,237327.7023,378498.9106,218883.606,236531.5714,219187.8943,219769.9871,202609.1874,235535.2569,17.7588074394787,18.223034806014,-0.46422736653528,0.138415340774182,0.275098985524821,"stable",1.70053863505034
"lithocholic acid","Com_19192_neg","lithocholic acid","C24 H40 O3",376.2975,9.068,375.29022,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Monohydroxy bile acids, alcohols and derivatives",193443.3863,213751.1958,145623.9973,204721.8677,137160.2497,164452.9509,335412.7939,352922.566,390401.2481,17.8992154095023,17.4730044783968,0.426210931105498,0.209789845086098,0.323859674014662,"stable",0.814541002752973
"PE O-21:2_16:1","Com_19221_neg","PE O-21:2_16:1","C42 H80 N O7 P",741.56581,8.823,740.55853,"No results","Full match","No results",NA,NA,NA,NA,428427.3599,221673.2524,497796.0938,173624.5486,132269.6855,178387.6789,247825.8682,206582.9389,144657.8156,17.4301673970985,18.4639872166711,-1.03381981957257,0.0866917514939434,0.225126093403277,"stable",1.70076962126661
"DL-Panthenol","Com_19243_neg","DL-Panthenol","C9 H19 N O4",205.13154,5.423,204.12427,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines",240181.266,428306.1767,257101.0484,215958.2252,175176.5525,253735.1314,183870.9164,247431.7689,90560.8794900001,17.4939020000512,18.1846743417801,-0.690772341728938,0.103144210370985,0.242209636404009,"stable",1.24658710631606
"4-Hydroxybenzoic acid","Com_19332_neg","4-Hydroxybenzoic acid","C7 H6 O3",138.02891,5.12,137.02164,"No results","Invalid mass","No results","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",339755.2319,287259.393,421957.8522,192043.001,418305.0626,496764.462399999,533905.5466,383722.7114,455448.5349,18.5867210657033,18.3976233863714,0.189097679331908,0.508439649547473,0.457322329302968,"stable",0.449190645879168
"Palmitic acid","Com_1368_neg","Palmitic acid","C16 H32 O2",256.24021,0.42,255.23294,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",8069810.466,9152540.75200001,10026236.02,6874783.175,9083889.18299999,9681226.731,7222511.62200001,6508127.484,5726244.456,22.81692633235,23.1090403285627,-0.292113996212763,0.0927136010212397,0.230625561901272,"stable",1.11541076662224
"L-Cysteine-glutathione gisulfide","Com_60_neg","L-Cysteine-glutathione gisulfide","C13 H22 N4 O8 S2",426.08817,1.437,425.0809,"No results","No results","Full match",NA,NA,NA,NA,431522746,398159504.2,526532040.500001,617625398.3,566689009.5,581749592.8,634748711,497857793.700001,497199529.099999,29.0696633932183,28.7418595683286,0.32780382488977,0.0900608909668351,0.228261122139996,"stable",1.55667276725968
"S-(Methyl)Glutathione","Com_163_neg","S-(Methyl)Glutathione","C11 H19 N3 O6 S",321.09941,2.738,320.09213,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",339714734.8,133273063.9,194043700.6,277598333.1,188279230.3,217459435.2,202172883.6,259714705.6,221853656.5,27.7502155285341,27.6204549648744,0.129760563659715,0.77485472983094,0.555281141053632,"stable",0.364737486871638
"AICA ribonucleotide","Com_78_neg","AICA ribonucleotide","C9 H15 N4 O8 P",338.0627,1.487,337.05544,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Imidazole ribonucleosides and ribonucleotides","1-ribosyl-imidazolecarboxamides","1-ribosyl-imidazolecarboxamides",1199263.578,1052288.506,1175154.858,1083201.488,1108910.167,1121387.474,87365077.6599999,965971.441,1078704.246,21.0879128352188,20.1210785557472,0.966834279471584,0.403556628654931,0.41953045616668,"stable",0.496053174070781
"LPE 18:0","Com_135_neg","LPE 18:0","C23 H48 N O7 P",481.3171,10.238,480.30982,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",85735965.0000001,104272561.6,54914092.51,162209079.5,238795600.3,166204509.5,181379201.7,212825632.1,189480081.5,27.5016443433189,26.2332848723613,1.26835947095763,0.0333252976527803,0.162558477593342,"up",1.96521433289735
"3-Hydroxyanthranilic acid","Com_2171_neg","3-Hydroxyanthranilic acid","C7 H7 N O3",153.04262,6.12,152.03533,"Full match","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",6640744.40600001,6121370.716,7521161.945,5559981.24000001,5008797.389,6267465.937,6110474.679,5267609.18,5143980.641,22.4013593195682,22.6836203276804,-0.282261008112165,0.0556437527899124,0.194643006901796,"stable",1.59290391526735
"7-Methylxanthine","Com_305_neg","7-Methylxanthine","C6 H6 N4 O2",166.04766,1.348,165.04038,"Invalid mass","No results","No match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines",150338007.3,132708642.2,120003608.3,127528425.7,144690218.3,142656984.3,119128574.9,125226516.8,137082786.6,26.9801653670493,26.9952747246483,-0.0151093575990373,0.894337901945229,0.590356747245836,"stable",0.135318670245644
"2-Furoic acid","Com_246_neg","2-Furoic acid","C5 H4 O3",112.01604,2.065,111.00876,"No results","No results","Full match","Organoheterocyclic compounds","Furans","Furoic acid and derivatives","Furoic acids",73452314.7,114825013.4,121236994.6,159136910.7,181636113.3,110929945,150420764.9,171860347.2,213278438.8,27.2660825946227,26.5861403611548,0.679942233467923,0.0729750995843848,0.210593434635487,"stable",1.57571870729269
"Cytidine 5'-Monophosphate-N-Acetylneuraminic Acid","Com_62_neg","Cytidine 5'-Monophosphate-N-Acetylneuraminic Acid","C20 H31 N4 O16 P",614.14949,2.314,613.14221,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",1446877778,358541.6936,1922646551,1611975589,1786707611,1462956415,1370389546,1410646824,23606439.58,29.5009007549798,26.5741745684388,2.92672618654097,0.54966235443138,0.470366177696098,"stable",0.739861567271828
"N-Acetyl-L-leucine","Com_231_neg","N-Acetyl-L-leucine","C8 H15 N O3",173.10529,5.387,172.09801,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Leucine and derivatives",125155397.7,118721590,132463674.2,124692345.3,107357741.2,122511978.7,99507825.6999999,76046476.6800001,97815707.27,26.6220406269224,26.9010579631583,-0.27901733623591,0.05013301176717,0.188527912388283,"stable",1.19501007774933
"LPE 18:1","Com_214_neg","LPE 18:1","C23 H46 N O7 P",479.3014,9.668,478.29412,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",26557141.5,30898584.5,22317772.75,50957791.55,47890823.9,47308671.75,37629248.5,44501255.83,36331473.43,25.3831761756252,24.6517745558703,0.731401619754902,0.0133322090514167,0.110770809955937,"up",1.90551561533531
"Hypotaurine","Com_3674_neg","Hypotaurine","C2 H7 N O2 S",109.01999,1.304,263.03845,"No results","No results","Full match","Organic acids and derivatives","Sulfinic acids and derivatives","Sulfinic acids","Sulfinic acids",1174579.013,1848144.042,1236767.635,602875.6118,660884.359399999,349245.5742,452803.7244,423680.7669,809427.176299999,19.0095179422125,20.406500382482,-1.39698244026948,0.00363766153984903,0.0633838325634136,"down",1.87610508446486
"Reduced nicotinamide adenine dinucleotide","Com_182_neg","Reduced nicotinamide adenine dinucleotide","C21 H29 N7 O14 P2",665.12563,2.153,664.11836,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",565506365.8,465034042,116807723.4,132751337.5,161783768.6,153893728.5,444756213.6,75969070.3700001,83354003.53,27.111849749433,28.2224298470229,-1.11058009758987,0.25889250941032,0.353314015240722,"stable",1.08979491798159
"Allantoin","Com_355_neg","Allantoin","C4 H6 N4 O3",158.04409,1.359,315.08104,"No results","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazoles",98659947.5599999,76913019.12,102526871.8,102003689.5,99748971.84,113419915.5,82189308.82,69281532.7400001,48042967.69,26.2981967212905,26.4547041718663,-0.156507450575781,0.514552313024449,0.459213146249804,"stable",0.436599788470074
"Glu-Gln","Com_463_neg","Glu-Gln","C10 H17 N3 O6",275.11171,1.442,274.10443,"No results","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",96195019.45,84076649.7799999,58838500.21,28750848.87,48555907.0100001,61263734.78,104141655.7,88295510.4800001,71969841.5899999,25.8849120971911,26.2183059493847,-0.333393852193641,0.366838953563014,0.403802990163677,"stable",0.619290550013305
"Adenylosuccinic acid","Com_306_neg","Adenylosuccinic acid","C14 H18 N5 O11 P",463.07457,4.671,462.06733,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",19198610.77,26389399.75,29742814.99,33897266.23,43247108.26,19027849.97,4656442.815,39210262.19,38987404.24,24.5257341159398,24.5579972150148,-0.032263099075081,0.954207400980344,0.605930433286047,"stable",0.0351402860046798
"Tetradecanedioic acid","Com_6350_neg","Tetradecanedioic acid","C14 H26 O4",258.18323,7.131,257.17596,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",3377310.978,2863451.355,2915840.588,3012723.047,2514542.732,3576161.846,3051145.456,2318636.997,2843254.711,21.4465598081795,21.5374158925891,-0.0908560844096122,0.466982601745885,0.443670451299753,"stable",0.511521174742988
"Porphobilinogen","Com_743_neg","Porphobilinogen","C10 H14 N2 O4",244.10601,4.942,289.10426,"Invalid mass","No results","No results","Organic nitrogen compounds","Organonitrogen compounds","Amines","Aralkylamines",1384583.477,1481073.405,1614013.462,1152126.119,1624274.322,897376.7635,1336898.86,1101541.162,1245951.055,20.202158706113,20.5071511673016,-0.30499246118859,0.0568847832870396,0.195904170237018,"stable",1.18203866205842
"LPE 20:4","Com_704_neg","LPE 20:4","C25 H44 N O7 P",501.2858,9.085,500.27853,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",11586443.48,13060800.44,10297221.62,22836388.73,12324062.68,16277122.39,15459010.28,16936388.07,19137043.63,24.0069300448729,23.4668087414786,0.540121303394297,0.011951187114925,0.105068667982989,"up",1.58225909815143
"10-Nitrolinoleate","Com_357_neg","10-Nitrolinoleate","C18 H31 N O4",325.22521,6.5,324.21793,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Lineolic acids and derivatives",71970390.76,73824930.9999999,76216235.13,76378043.97,56018100.19,60084068.24,46936773.81,38601497.49,50037644.0400001,25.6715671460079,26.1406999772663,-0.469132831258335,0.0181234981251306,0.126473958017792,"down",1.43014337446156
"Thymidine 5'-diphosphate","Com_2655_neg","Thymidine 5'-diphosphate","C10 H16 N2 O11 P2",402.02309,4.544,401.01582,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside diphosphates",20821374.35,18007489.48,16003853.49,12056455.66,14022573.93,13060619.69,12337193.72,11711097.64,12650240.02,23.5889692835424,24.1151905599546,-0.526221276412169,0.0297447705107091,0.155460965765024,"down",1.96802956457791
"PC 16:0_16:1","Com_90_neg","PC 16:0_16:1","C40 H78 N O8 P",777.55379,11.732,776.54651,"No results","Invalid mass","No results",NA,NA,NA,NA,438882967.2,457178238.200001,448371049.6,451159532.3,327275932.5,482948809.1,773986685.2,319433890.5,445757905.2,28.7321084211417,28.739186806742,-0.0070783856003338,0.971738890106627,0.61026917254305,"stable",0.0208411076191167
"LPE 22:6","Com_1142_neg","LPE 22:6","C27 H44 N O7 P",525.28567,9.034,524.2784,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",7887384.991,8026304.01000001,6240613.634,13761270.78,7742996.943,10404981.87,11044478.35,9853714.96099999,12492595.25,23.3521617095523,22.8068921561368,0.545269553415483,0.017853145063169,0.125722953982353,"up",1.59431235822117
"N-lactoyl-phenylalanine","Com_1588_neg","N-lactoyl-phenylalanine","C12 H15 N O4",237.10021,5.779,236.09294,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",7258916.27800001,12744732.72,6939205.171,11933212.82,10757513.25,9978138.631,14349251.26,11087655.67,12531565.78,23.4789410406436,23.0403531735798,0.438587867063745,0.25655555469505,0.351951798567892,"stable",1.3197088419723
"4-Hydroxyisoleucine","Com_119_neg","4-Hydroxyisoleucine","C6 H13 N O3",147.08948,5.064,146.0822,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Isoleucine and derivatives",124491271.5,154425516.1,134986790.5,188888813.5,227846013.2,174202405.9,199590604.2,187319874.8,237387936.1,27.5847839833773,27.0340160861883,0.550767897189047,0.00641468291899549,0.0769554467670948,"up",1.87464900734889
"Asp-Glu","Com_1037_neg","Asp-Glu","C9 H14 N2 O7",262.07994,1.473,261.07267,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",38652251.43,25541746.05,31888981.17,30710736.79,23848409.67,35134520.91,28799619.31,22510624.93,23226244.84,24.6864861952923,24.9123192003543,-0.22583300506199,0.333965160489435,0.390624813849151,"stable",0.879651963756376
"S-Lactoylglutathione","Com_1828_neg","S-Lactoylglutathione","C13 H21 N3 O8 S",379.10505,3.377,378.09778,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Oligopeptides",18921271.83,21534729.52,22542153.29,24193640.11,29016384.92,23608080.4,15764348.51,29908517.99,21275661.89,24.483030391984,24.3199298645651,0.163100527418898,0.333846220015865,0.390574138342971,"stable",0.616260044820154
"LPC 18:0","Com_550_neg","LPC 18:0","C26 H54 N O7 P",569.36963,10.335,568.36235,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",19359365.59,20250476.29,11462080.08,29506770.52,43125745.18,29151287.93,34960285.1,42225033.37,36123468.59,25.0784811607244,23.9761154633162,1.10236569740818,0.0386167118892298,0.172233932697855,"up",1.9021559294267
"LPE 16:1","Com_563_neg","LPE 16:1","C21 H42 N O7 P",451.27005,8.863,450.26278,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",6331741.155,5413820.695,5357703.634,9666179.72899999,7090384.48799999,8670538.51899999,6814882.305,9618176.53900001,11472233.44,23.059811537923,22.4385232908161,0.621288247106843,0.00314846611872976,0.0609562221009896,"up",1.71843501977479
"L-serine","Com_739_neg","L-serine","C3 H7 N O3",105.04256,1.246,140.01193,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Serine and derivatives",7741603.166,5375293.779,5885488.067,15088381.83,9211261.57600001,28881107.35,14454360.06,50582855.55,42077250.87,24.4115347452332,22.5769479097414,1.83458683549181,0.0045197880427734,0.0667216063013363,"up",1.64799870050931
