"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"Docosanoic Acid","Com_15140_neg","Docosanoic Acid","C22 H44 O2",340.334,11.214,339.32672,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",1027045.643,468402.8403,392525.9036,645796.404,1606508.486,346777.6548,19.4399561554632,19.1299625012818,0.309993654181486,0.718638848720391,0.542604067561721,"stable",0.422921599941145
"2-(1H-indol-3-yl)-3-[4-(trifluoromethyl)phenyl]acrylonitrile","Com_15182_neg","2-(1H-indol-3-yl)-3-[4-(trifluoromethyl)phenyl]acrylonitrile","C18 H11 F3 N2",312.08986,6.742,311.08258,"Invalid mass","No results","No results",NA,NA,NA,NA,160409.1009,152844.1313,129275.2778,281869.6299,2804666.602,76342.70984,18.5814230490728,17.1643949944091,1.41702805466367,0.434836485348798,0.478379660045021,"stable",0.905266000787521
"Vitamin B2","Com_15202_neg","Vitamin B2","C17 H20 N4 O6",376.13882,5.688,375.13165,"No results","No results","Full match","Organoheterocyclic compounds","Pteridines and derivatives","Alloxazines and isoalloxazines","Flavins",659110.037800001,652210.6487,323077.1048,435837.1168,497556.3239,365948.7274,18.7130706219882,18.9822190925449,-0.269148470556772,0.366124289194233,0.470740485018605,"stable",0.74448744966356
"LPC 20:5","Com_15219_neg","LPC 20:5","C28 H48 N O7 P",587.32252,8.671,586.31525,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",382466.8303,390502.7132,880668.110900001,147930.3948,242370.9696,838948.038300001,18.2465460992596,18.9560623522292,-0.709516252969511,0.199439350954665,0.440446423020523,"stable",0.831790982942584
"5 methyl THF","Com_15267_neg","5 methyl THF","C20 H25 N7 O6",459.18721,4.92,458.17993,"No results","No results","Full match","Hydrocarbons","Unsaturated hydrocarbons","Branched unsaturated hydrocarbons","Branched unsaturated hydrocarbons",100218.0907,157529.9576,504998.153,98789.2541300001,111323.2864,357485.6358,17.2679960423307,17.607989568505,-0.339993526174364,0.166936204020493,0.428649061267753,"stable",0.392842911381943
"Isoproterenol","Com_15334_neg","Isoproterenol","C11 H17 N O3",211.12098,5.786,210.11375,"No results","No results","Full match","Benzenoids","Phenols","Benzenediols","Catechols",331246.4851,330430.1492,238894.0301,363119.7957,305368.3344,164046.0798,18.0046728636213,18.1791808995147,-0.174508035893439,0.469457597939899,0.48352864208034,"stable",0.478254189615201
"Glutathione (oxidized)","Com_15376_neg","Glutathione (oxidized)","C20 H32 N6 O12 S2",612.153,4.844,611.14573,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",287625.6902,265548.4998,128128.505,141450.043,790096.905900001,28082.53535,17.1596629154678,17.7065602711144,-0.54689735564661,0.671565161639276,0.527527364118093,"stable",0.400665879710688
"4-morpholino-3-nitrobenzene-1-sulfonamide","Com_15379_neg","4-morpholino-3-nitrobenzene-1-sulfonamide","C10 H13 N3 O5 S",287.05745,4.918,286.05017,"Full match","No results","No results",NA,NA,NA,NA,4064776.798,4446847.624,2858025.05,4263086.469,3182065.386,1373737.61,21.3382246587376,21.8285611245696,-0.490336465832041,0.270372646122651,0.457409340732551,"stable",0.905194778325716
"PC 17:1_18:2","Com_15409_neg","PC 17:1_18:2","C43 H80 N O8 P",815.56691,11.516,814.55964,"No results","Invalid mass","No results",NA,NA,NA,NA,2364828.573,2100919.492,948560.7223,1388564.612,1870667.411,230368.4083,19.6846226301373,20.6770914095312,-0.992468779393914,0.21432172133721,0.444812496518989,"stable",0.930997652769198
"Glutathione","Com_15428_neg","Glutathione","C10 H17 N3 O6 S",307.08378,7.464,306.07651,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",949539.205900001,624771.1588,5649315.88000001,547400.6369,453270.795,2719100.346,19.7423164113861,20.5131603715968,-0.770843960210748,0.0460059642590744,0.332009960830166,"down",0.621711431292336
"N1-(4-cyclohexylphenyl)-2-[(4-methylphenyl)thio]acetamide","Com_15432_neg","N1-(4-cyclohexylphenyl)-2-[(4-methylphenyl)thio]acetamide","C21 H25 N O S",375.14619,7.514,374.13892,"Invalid mass","No results","No results",NA,NA,NA,NA,113279.0553,272968.9563,463194.9392,340963.0568,355654.43,223693.3891,18.1968452032873,17.889719647175,0.307125556112247,0.726234449594863,0.5452122815395,"stable",0.508259660436274
"Pyridoxamine","Com_15500_neg","Pyridoxamine","C8 H12 N2 O2",168.08984,5.218,213.08798,"No results","No results","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridoxamines","Pyridoxamine 5'-phosphates",1207465.033,1439771.169,979293.289400001,1713721.647,1475762.519,2339395.436,20.7864782771744,20.1874465188127,0.599031758361694,0.2340210495085,0.449842797394362,"stable",1.63842499579668
"Flavin adenine dinucleotide","Com_15629_neg","Flavin adenine dinucleotide","C27 H33 N9 O15 P2",785.1583,5.874,784.15102,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Flavin nucleotides","Not available","Flavin nucleotides",426392.3609,428216.838699999,268461.4509,466365.6845,362689.9861,162353.7745,18.2027536332959,18.4813864950453,-0.27863286174939,0.377259602166388,0.471886733596119,"stable",0.564806979978347
"LPE 15:0","Com_15661_neg","LPE 15:0","C20 H42 N O7 P",439.27002,9.057,438.26274,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",277498.8915,527526.8418,606785.210599999,145137.0368,767874.3869,554869.248300001,18.5931184396718,18.7672779526137,-0.174159512941841,0.722817203961564,0.544042541635824,"stable",0.228373658349092
"LysoPE 18:2","Com_15785_neg","LysoPE 18:2","C23 H44 N O7 P",477.28629,8.42,476.27902,"No results","No results","Full match",NA,NA,NA,NA,437682.3485,513649.8118,376739.0353,201317.8585,2079463.307,540560.387899999,19.2169972328127,18.7443854218456,0.47261181096712,0.653971130737802,0.522650683091741,"stable",0.500674103398723
"20-Carboxy-Leukotriene B4","Com_16472_neg","20-Carboxy-Leukotriene B4","C20 H30 O6",366.20387,6.966,347.18582,"No results","No results","Full match",NA,NA,NA,NA,1078417.486,294655.8493,416091.7669,496785.6013,309445.9044,176293.3171,18.1964032655457,18.958565986956,-0.76216272141032,0.209722514679957,0.443520420142479,"stable",1.01805140676208
"LPS 20:0","Com_16514_neg","LPS 20:0","C26 H52 N O9 P",553.3386,11.497,552.33132,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",109379.3404,101969.4012,136158.422,468244.9797,99591.0031600001,135762.8017,17.4971201720198,16.8105614028225,0.686558769197319,0.433251097217517,0.478179884567029,"stable",0.951706465741194
"Mag (18:1)","Com_16562_neg","Mag (18:1)","C21 H40 O4",356.29278,10.122,401.29099,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Lineolic acids and derivatives",84237.41824,71949.06391,89097.10244,127340.0034,79533.89086,148417.9967,16.8056382753105,16.3133175967154,0.492320678595057,0.110159871839526,0.395174842470688,"stable",1.39947925000154
"Lysopc 16:1","Com_16612_neg","Lysopc 16:1","C24 H48 N O7 P",493.31705,10.052,492.30977,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",255803.5534,585570.443199999,635023.7172,335239.0262,656101.344599999,868354.6324,19.135438187346,18.8002036462862,0.33523454105978,0.0617312424972056,0.352837280806115,"stable",0.591505153857452
"PA 16:0_18:1","Com_16681_neg","PA 16:0_18:1","C37 H71 O8 P",674.48689,8.568,673.47961,"No results","Full match","No results",NA,NA,NA,NA,106743.2558,95235.12403,715718.9099,114870.3705,96097.86049,1237417.656,17.8669216593846,17.5640083681434,0.302913291241186,0.341734774664865,0.467991761204082,"stable",0.213107179375265
"PE 14:0_16:0","Com_16759_neg","PE 14:0_16:0","C35 H70 N O8 P",617.47881,10.713,616.47154,"No results","Invalid mass","No results",NA,NA,NA,NA,298925.8599,275246.7233,207614.2755,333478.0224,272953.7265,162790.6349,17.9060624025761,17.9744467226787,-0.0683843201025702,0.692293358207689,0.533320882441103,"stable",0.210479512203093
"N-Acetyl-D-tryptophan","Com_16762_neg","N-Acetyl-D-tryptophan","C13 H14 N2 O3",246.10101,5.314,245.09373,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",985682.535699999,609785.3708,225200.317,1847862.486,1222117.65,625648.998399999,20.0977905637051,18.9698516285002,1.12793893520491,0.0233187786296403,0.319583307975458,"up",1.26253543866515
"D-Fructose 1,6-bisphosphate","Com_16766_neg","D-Fructose 1,6-bisphosphate","C6 H14 O12 P2",339.99763,5.641,338.99036,"No results","No results","Full match",NA,NA,NA,NA,229255.0871,1141074.284,227285.8429,286120.7846,197858.5732,269603.0722,17.9202840803927,18.5742346014742,-0.65395052108147,0.557524961407573,0.499501684559989,"stable",0.81948652775642
"PC 16:1_22:6","Com_16786_neg","PC 16:1_22:6","C46 H78 N O8 P",849.55851,9.278,848.55124,"No results","Invalid mass","No results",NA,NA,NA,NA,252802.0353,320283.4222,158958.2302,275933.2198,199706.4005,57299.083,17.1625683681864,17.8383087812056,-0.675740413019255,0.280655642612489,0.459231329111345,"stable",0.878967295162609
"D-Xylonic Acid","Com_16789_neg","D-Xylonic Acid","C5 H10 O6",166.04774,5.53,165.04065,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",708893.7709,524006.2683,852583.9951,898945.946600001,727311.872899999,705883.7362,19.5597201672687,19.378638973018,0.181081194250702,0.5133367636413,0.491904870163365,"stable",0.77930873606012
"PE 18:0_20:4","Com_16848_neg","PE 18:0_20:4","C43 H78 N O8 P",767.54426,9.097,766.53699,"No results","Full match","No results",NA,NA,NA,NA,266732.9833,50459.99646,156535.693,60030.58497,523683.547600001,165366.3525,17.4023506837666,16.9680071079191,0.434343575847553,0.81209775416682,0.572753008296714,"stable",0.399049280667468
"Oleoyl-L-alpha-lysophosphatidic acid","Com_16909_neg","Oleoyl-L-alpha-lysophosphatidic acid","C21 H40 Na O7 P",458.24296,9.289,457.23568,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1-acylglycerol-3-phosphates",980587.170500001,801330.9208,831687.0922,231791.431,669690.7912,562869.625,18.7593481940428,19.7270020992908,-0.967653905247989,0.228062083907111,0.448401291572299,"stable",1.51955817386491
"geranyl pp","Com_17050_neg","geranyl pp","C10 H20 O7 P2",314.06739,5.233,295.04944,"No results","No results","Full match","Lipids and lipid-like molecules","Prenol lipids","Isoprenoid phosphates","Isoprenoid phosphates",158477.6266,167281.3089,114422.5037,563709.6772,568443.2506,251798.9052,18.721054031938,17.1432825586261,1.57777147331184,0.0190200491181454,0.314193634769756,"up",1.88854340207158
"LPC 20:2","Com_17094_neg","LPC 20:2","C28 H54 N O7 P",593.36978,10.009,592.3625,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",249804.2876,418336.9232,670412.1848,551055.1193,702192.6118,779269.4751,19.3550357257113,18.6531444572005,0.701891268510778,0.119932298762638,0.402709259650259,"stable",1.34333171644708
"PC 14:0_14:0","Com_17134_neg","PC 14:0_14:0","C36 H72 N O8 P",723.50421,9.127,722.49693,"No results","Invalid mass","No results",NA,NA,NA,NA,110950.204,107544.2681,411756.2469,123788.7501,102115.5335,756574.655199999,17.6954954736494,17.3751849717359,0.320310501913568,0.380062740115739,0.472165542628352,"stable",0.303750289013638
"Uridine 5'-Diphospho-N-Acetylgalactosamine","Com_17159_neg","Uridine 5'-Diphospho-N-Acetylgalactosamine","C17 H27 N3 O17 P2",607.08142,6.914,606.07414,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",313722.587,347863.0255,249981.4893,505702.9908,296452.7671,162539.479,18.1452680573542,18.1995838125937,-0.0543157552395144,0.90156121503626,0.598110781854614,"stable",0.117907068023585
"GTP","Com_17259_neg","GTP","C10 H16 N5 O14 P3",522.99058,11.921,521.98331,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside triphosphates",2019608.123,2241497.882,1435702.026,2154427.846,1585361.181,728386.398899999,20.3698659781643,20.8316668613805,-0.461800883216135,0.274870803880476,0.458221328628443,"stable",0.893049300206838
"LPC 22:6","Com_17302_neg","LPC 22:6","C30 H50 N O7 P",613.33805,9.073,612.33077,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",449379.696,555676.088999999,693663.5518,127931.5952,492264.9566,296542.3377,18.0173223894888,19.0884455359091,-1.07112314642032,0.154874802560549,0.423231889072924,"stable",1.43545435746605
"2-Methylbutyl beta-D-glucopyranoside","Com_17392_neg","2-Methylbutyl beta-D-glucopyranoside","C11 H22 O6",296.14467,7.828,295.13739,"Invalid mass","No results","No results",NA,NA,NA,NA,453322.3828,57835.45292,19148505.36,430064.5078,413599.5316,32451752.25,20.7746205394435,19.6001909438823,1.17442959556115,0.307977564417005,0.463538194781541,"stable",0.385002800102567
"All-cis-4,7,10,13,16-docosapentaenoic acid","Com_17485_neg","All-cis-4,7,10,13,16-docosapentaenoic acid","C22 H34 O2",330.25592,7.871,329.24864,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",83523.2144499999,75785.16868,67801.3759799999,88355.5312000001,76680.84315,55439.14377,16.1387429225348,16.2028481547949,-0.064105232260065,0.632349958741826,0.516420123416829,"stable",0.31330474660111
"6-phospho-D-glucono-1,5-lactone","Com_17718_neg","6-phospho-D-glucono-1,5-lactone","C6 H11 O9 P",258.01359,4.994,257.00632,"No results","No results","Full match",NA,NA,NA,NA,1156265.905,722210.1104,527508.9208,1000455.445,538300.854600001,124946.8902,18.6337447157641,19.5373122792394,-0.903567563475299,0.265576071394294,0.456516514482665,"stable",0.92268779027846
"LPI 16:1","Com_17789_neg","LPI 16:1","C25 H47 O12 P",570.28016,9.253,569.27289,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",4386568.946,3571165.954,3509844.533,3435234.938,6075528.812,3394681.869,21.9804669474882,21.8585336530022,0.121933294486038,0.75013126345058,0.55322749735571,"stable",0.433243803806216
"Tauroursodeoxycholic acid","Com_18001_neg","Tauroursodeoxycholic acid","C26 H45 N O6 S",499.29758,7.755,498.2903,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Taurinated bile acids and derivatives",322199.4064,421776.8694,226294.9947,73918.72039,172374.915,123478.9145,16.8275825521988,18.2571866376189,-1.42960408542005,0.0601624094360534,0.350874413102242,"stable",1.82697132536862
"Gentisic acid","Com_18078_neg","Gentisic acid","C7 H6 O4",154.02691,5.031,153.01964,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",127083.7592,161018.1102,260071.669,435089.5626,131803.4658,45940.12461,17.0754829378501,17.4136111012902,-0.338128163440093,0.809901871362253,0.572090303131602,"stable",0.362994892876836
"5-Methyl-dl-tryptophan","Com_18106_neg","5-Methyl-dl-tryptophan","C12 H14 N2 O2",218.10578,5.255,253.07527,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",207568.4274,250182.2367,569053.0947,989351.597900001,1109382.282,1138542.6,20.0387352651327,18.2380170223036,1.80071824282906,0.046227551666004,0.332073577914033,"up",1.91832459436968
"Alanyltyrosine","Com_18154_neg","Alanyltyrosine","C12 H16 N2 O4",252.11122,4.756,251.10395,"Full match","No results","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",716655.9114,869013.6659,696650.4643,1005974.193,1163622.377,477237.0774,19.6515666622115,19.5300052913797,0.121561370831813,0.750921582690598,0.553487754356486,"stable",0.314160724904807
"Erucic acid","Com_18371_neg","Erucic acid","C22 H42 O2",338.31868,9.635,337.3114,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",761393.204400001,342341.7472,208473.401,295444.0529,774465.554399999,198668.4999,18.4451235329622,18.5309545578761,-0.0858310249138725,0.917628036261772,0.60234933937032,"stable",0.115303287888808
"L-(-)-alpha-Amino-epsilon-Caprolactam","Com_18477_neg","L-(-)-alpha-Amino-epsilon-Caprolactam","C6 H12 N2 O",128.09498,6.238,127.08771,"No results","No results","Full match","Organoheterocyclic compounds","Azepines","Not available","Azepines",542787.836499999,565609.304500001,383144.6476,354281.8264,791455.438599999,540194.562000001,19.0239353752773,18.9023349399239,0.121600435353397,0.772802026923693,0.560574628074007,"stable",0.33956467611716
"2-Phosphoglyceric acid","Com_18485_neg","2-Phosphoglyceric acid","C3 H7 O7 P",185.99295,2.754,184.98567,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",295774.9517,253632.3098,186305.9689,669811.8944,261870.8978,123390.1077,18.0882532982777,17.8779445798003,0.21030871847741,0.724337003669809,0.544563518638046,"stable",0.304839795805486
"PC 17:0_18:1","Com_18593_neg","PC 17:0_18:1","C43 H84 N O8 P",819.5959,11.718,818.58862,"No results","Invalid mass","No results",NA,NA,NA,NA,82309.71217,35835.79439,82805.6987000001,49501.54343,33750.27761,15172.3491,14.8423181626571,15.9317770680654,-1.08945890540831,0.262110539733543,0.455853376322827,"stable",1.38680506536042
"3-(2,4-difluoroanilino)-2-(2-thienylsulfonyl)acrylonitrile","Com_18716_neg","3-(2,4-difluoroanilino)-2-(2-thienylsulfonyl)acrylonitrile","C13 H8 F2 N2 O2 S2",325.99879,8.53,324.99152,"Full match","No results","No results",NA,NA,NA,NA,52902.77882,47794.78764,111552.4525,57530.15983,48887.45525,286401.8774,16.5056296572976,16.0009947535661,0.5046349037315,0.360172588355833,0.470101190907308,"stable",0.57891042252265
"LNAPE 16:1/N-18:0","Com_18743_neg","LNAPE 16:1/N-18:0","C39 H76 N O8 P",1435.06265,7.05,716.52405,"No results","Invalid mass","No results",NA,NA,NA,NA,2204086.565,2238119.282,2023827.472,7943978.85300001,4346429.683,1227598.179,21.7334122353142,21.0380866100342,0.695325625279949,0.453611108988688,0.480650948565213,"stable",0.859684920573443
"Gly-Tyr-Ala","Com_18746_neg","Gly-Tyr-Ala","C14 H19 N3 O5",309.13215,4.764,308.12488,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Oligopeptides",579555.777599999,574121.983299999,403521.6985,844252.775800001,697890.430000001,285118.9216,19.073720258289,18.9659574967729,0.107762761516113,0.763896006857439,0.557717374839971,"stable",0.224357590043384
"Phosphopyruvic acid","Com_18793_neg","Phosphopyruvic acid","C3 H5 O6 P",167.98223,2.614,166.97495,"No results","No results","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Phosphate esters",433359.4842,667273.4785,129933.5647,1058705.867,330353.2263,137250.2808,18.4713232948013,18.3535126748105,0.117810619990799,0.875716469713773,0.591099846845301,"stable",0.113920308529228
"lithocholic acid","Com_19192_neg","lithocholic acid","C24 H40 O3",376.2975,9.068,375.29022,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Monohydroxy bile acids, alcohols and derivatives",198017.6901,193023.9123,146563.4184,464046.5065,210718.0944,160985.1311,17.9351441567937,17.4382851283923,0.496859028401424,0.307397503595028,0.463453944350316,"stable",0.988051077432651
"PE O-21:2_16:1","Com_19221_neg","PE O-21:2_16:1","C42 H80 N O7 P",741.56581,8.823,740.55853,"No results","Full match","No results",NA,NA,NA,NA,210022.406,137169.454,393672.2566,160045.2166,130591.8304,552171.2833,17.7858604962888,17.7774729875105,0.00838750877831274,0.976943291113073,0.617251910275017,"stable",0.0114499843159667
"DL-Panthenol","Com_19243_neg","DL-Panthenol","C9 H19 N O4",205.13154,5.423,204.12427,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines",133476.3683,118306.0377,127212.885,190174.1389,209272.932,93147.53735,17.2397392498561,16.9450914229569,0.294647826899208,0.522048246342597,0.493485055504126,"stable",0.790313636653084
"4-Hydroxybenzoic acid","Com_19332_neg","4-Hydroxybenzoic acid","C7 H6 O3",138.02891,5.12,137.02164,"No results","Invalid mass","No results","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",355533.08,398986.4884,370914.3498,471698.176800001,405379.137,138235.9925,18.184396862944,18.5154437322321,-0.331046869288091,0.612939381008611,0.510589862281077,"stable",0.608714446135854
"Palmitic acid","Com_1368_neg","Palmitic acid","C16 H32 O2",256.24021,0.42,255.23294,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",6536072.60499999,6062757.72,4021426.41,1191852.346,6203381.43100001,2329014.51,21.3002285627021,22.3702704026075,-1.07004183990541,0.281301479376677,0.459341780284763,"stable",1.27464639918301
"L-Cysteine-glutathione gisulfide","Com_60_neg","L-Cysteine-glutathione gisulfide","C13 H22 N4 O8 S2",426.08817,1.437,425.0809,"No results","No results","Full match",NA,NA,NA,NA,323430209.7,312774804.1,18894511.62,851416063.4,399179694.7,40070484.4799999,27.8312629269583,26.886964049781,0.944298877177303,0.0927612229199313,0.381264090098985,"stable",0.518078347229625
"S-(Methyl)Glutathione","Com_163_neg","S-(Methyl)Glutathione","C11 H19 N3 O6 S",321.09941,2.738,320.09213,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",38577689.02,47961576.13,176971137.1,22030691.97,43187178.76,111669690.8,25.4972578789352,26.0385259880609,-0.541268109125628,0.113119529959303,0.397563214203633,"stable",0.579116154476513
"AICA ribonucleotide","Com_78_neg","AICA ribonucleotide","C9 H15 N4 O8 P",338.0627,1.487,337.05544,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Imidazole ribonucleosides and ribonucleotides","1-ribosyl-imidazolecarboxamides","1-ribosyl-imidazolecarboxamides",1097291.508,1135065.866,763953.614400001,515094412,106770761.8,673553495.100001,28.3124734436141,19.9076618396365,8.4048116039776,0.0128264638066697,0.300901241268942,"up",2.10328159936955
"LPE 18:0","Com_135_neg","LPE 18:0","C23 H48 N O7 P",481.3171,10.238,480.30982,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",33722803.86,50814749.02,78037804.4,159984041.5,58244748.72,62943706.86,26.3188454059682,25.6078783250391,0.710967080929141,0.458942221402134,0.481607695561094,"stable",1.11517101346675
"3-Hydroxyanthranilic acid","Com_2171_neg","3-Hydroxyanthranilic acid","C7 H7 N O3",153.04262,6.12,152.03533,"Full match","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",6404185.534,5932192.791,5253434.99,8407173.911,6111321.57,4526522.091,22.5520713386937,22.47851578112,0.073555557573691,0.716636274818427,0.541911423096301,"stable",0.288582030832369
"7-Methylxanthine","Com_305_neg","7-Methylxanthine","C6 H6 N4 O2",166.04766,1.348,165.04038,"Invalid mass","No results","No match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines",96337920.56,95522920.1299999,64749483.45,58232565.91,113343256.6,42609891.06,25.9653770667755,26.326436466804,-0.361059400028541,0.359327194947344,0.470008810181357,"stable",0.788127890573273
"2-Furoic acid","Com_246_neg","2-Furoic acid","C5 H4 O3",112.01604,2.065,111.00876,"No results","No results","Full match","Organoheterocyclic compounds","Furans","Furoic acid and derivatives","Furoic acids",225557028.4,247427470.1,142390469.2,347609436.3,194438084.2,166513062.7,27.7395625690642,27.5722082612764,0.167354307787779,0.613069355124197,0.510629678241714,"stable",0.432671918151294
"Cytidine 5'-Monophosphate-N-Acetylneuraminic Acid","Com_62_neg","Cytidine 5'-Monophosphate-N-Acetylneuraminic Acid","C20 H31 N4 O16 P",614.14949,2.314,613.14221,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",743310107.600001,850944801.2,412893695.8,550368127.2,948651635.899999,326815481.8,29.0470086421197,29.2516914817227,-0.204682839602956,0.37940520247369,0.472100482234998,"stable",0.394395388668584
"N-Acetyl-L-leucine","Com_231_neg","N-Acetyl-L-leucine","C8 H15 N O3",173.10529,5.387,172.09801,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Leucine and derivatives",122335391.2,117842440.2,101037202.9,153783216.9,99225810.7800001,36590694.56,26.2951694659327,26.756287307905,-0.461117841972328,0.47538017247502,0.484579610456956,"stable",0.749300018052223
"LPE 18:1","Com_214_neg","LPE 18:1","C23 H46 N O7 P",479.3014,9.668,478.29412,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",24147843.99,35709363.28,51483277.49,85807734.9999999,70394842.26,70185164.41,26.1627445109729,25.0775968961645,1.08514761480844,0.114438558637557,0.39859671325114,"stable",1.83385547886242
"Hypotaurine","Com_3674_neg","Hypotaurine","C2 H7 N O2 S",109.01999,1.304,263.03845,"No results","No results","Full match","Organic acids and derivatives","Sulfinic acids and derivatives","Sulfinic acids","Sulfinic acids",2463146.38,2999986.66,1209448.246,473286.5551,3436290.886,2327398.14,20.5716872495114,20.9848377320399,-0.413150482528497,0.721311639793227,0.543525267942062,"stable",0.450885966694149
"Reduced nicotinamide adenine dinucleotide","Com_182_neg","Reduced nicotinamide adenine dinucleotide","C21 H29 N7 O14 P2",665.12563,2.153,664.11836,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",1234054037,1124604741,714069725.399999,1305573143,606380014.4,293368032.2,29.195273177831,29.8930063410493,-0.697733163218381,0.227549634496919,0.448274246355621,"stable",0.993375359316705
"Allantoin","Com_355_neg","Allantoin","C4 H6 N4 O3",158.04409,1.359,315.08104,"No results","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazoles",114390065.6,93787792.25,79971579.17,77584166.23,126340678.6,53200665.25,26.262314616627,26.501755792337,-0.239441175709992,0.548654130080461,0.498056939768868,"stable",0.628435431022315
"Glu-Gln","Com_463_neg","Glu-Gln","C10 H17 N3 O6",275.11171,1.442,274.10443,"No results","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",54267583.82,38309058.63,31413658.52,23230040.34,28830889.66,43557164.25,24.8756690132868,25.2632194055797,-0.387550392292955,0.511590931172626,0.491582964113496,"stable",1.03477152853017
